"","fly","class","order","family","genus.species","common.name","sum_mass","trial.diet","N_tot","total_transit","transit","avg_mass","re_class"
"186","N","Mammalia","Carnivora","Phocidae","Phoca vitulina","harbour seal",47000,"meat",4,920,230,11750,"Carnivora"
"187","N","Mammalia","Carnivora","Phocidae","Phoca vitulina","harbor seal",1e+05,"protein",3,900,300,33333.3333333333,"Carnivora"
"188","N","Mammalia","Artiodactyla","Phocoenidae","Phocoena phocoena","harbour porpoise",45250,"meat",8,1503,187.875,5656.25,"Artiodactyla"
"189","Y","Aves","Procellariiformes","Diomedeidae","Phoebetria fusca","Sooty Albatrosses",7500,"meat",15,12990,866,500,"Flying Birds"
"190","Y","Aves","Passeriformes","Muscicapidae","Phoenicurus phoenicuris","Common redstart",17,"unkown",17,680,40,1,"Flying Birds"
"191","Y","Mammalia","Chiroptera","Phyllostomidae","Phyllostomus discolor","pale spear-nosed bat",70,"fruit/nectar/pollen",12,403.2,33.6,5.83333333333333,"Chiroptera"
"192","N","Mammalia","Rodentia","Cricetidae","Phyllotis darwini","Darwin's leaf-eared mouse",162,"fiber/foliage",12,3564,297,13.5,"Rodentia"
"193","N","Mammalia","Rodentia","Cricetidae","Phyllotis xanthopygus","leaf-eared mouse",111,"fiber/foliage",12,2592,216,9.25,"Rodentia"
"194","Y","Mammalia","Chiroptera","Vespertilionidae","Pipistrellus pipistrellus","Common pipistrelle",5.1,"protein",7,483,69,0.728571428571429,"Chiroptera"
"195","Y","Aves","Passeriformes","Pipridae","Pipra mentalis","Red-capped manakin",14.2,"fruit/nectar/pollen",6,91.39999998,15.23333333,2.36666666666667,"Flying Birds"
"196","N","Mammalia","Primates","Pitheciidae","Pithecia monachus","monk saki",1900,"protein",1,1200,1200,1900,"Primates"
"197","N","Mammalia","Primates","Pitheciidae","Pithecia pithecia","white-faced saki",1712.5,"fiber/foliage",4,3504,876,428.125,"Primates"
"198","Y","Mammalia","Chiroptera","Vespertilionidae","Plecotus auritus","Brown long-eared bat",6.9,"protein",6,552,92,1.15,"Chiroptera"
"199","N","Reptilia","Squamata","Lacertidae","Podarcis erhardii","Aegean wall lizard",5.78,"protein",47,122200,2600,0.122978723404255,"Reptilia"
"200","N","Reptilia","Squamata","Agamidae","Pogona vitticeps","Bearded dragon",243.4,"protein",7,13020,1860,34.7714285714286,"Reptilia"
"201","N","Mammalia","Primates","Hominidae","Pongo pygmaeus","Bornean orangutan",213891.66667,"fruit/nectar/pollen",12,36228,3019,17824.3055558333,"Primates"
"202","N","Mammalia","Primates","Hominidae","Pongo pygmaeus","Bornean Orangutan",75000,"fiber/foliage",1,1800,1800,75000,"Primates"
"203","N","Mammalia","Primates","Hominidae","Pongo pygmaeus","Bornean orangutan",53000,"protein",2,4440,2220,26500,"Primates"
"204","N","Mammalia","Primates","Hominidae","Pongo pygmaeus","Bornean orangutan",135140,"fiber/foliage",8,25272,3159,16892.5,"Primates"
"205","N","Mammalia","Carnivora","Felidae","Prionailurus bengalensis","Amur leopard cat",15900,"protein",3,6300,2100,5300,"Carnivora"
"206","N","Mammalia","Primates","Indriidae","Propithecus tattersalli","Golden crowned sifaka",6186,"fiber/foliage",6,7200,1200,1031,"Primates"
"207","N","Mammalia","Primates","Indriidae","Propithecus verreauxi coquereli","Coquerel's sifaka",10772,"fiber/foliage",18,21070.8,1170.6,598.444444444444,"Primates"
"208","Y","Aves","Psittaciformes","Psittacidae","Psittacus erithacus","African grey parrot",446,"unknown",8,2100,262.5,55.75,"Flying Birds"
"209","Y","Mammalia","Chiroptera","Pteropodidae","Ptenochirus jagorii","Greater musky fruit bat",79.5,"fruit/nectar/pollen",5,287.5,57.5,15.9,"Chiroptera"
"210","Y","Mammalia","Chiroptera","Mormoopidae","Pteronotus rubiginosus","Parnell's mustached bat",24.1,"unknown",5,600,120,4.82,"Chiroptera"
"211","N","Mammalia","Carnivora","Mustelidae","Pteronura brasiliensis","giant river otter",23000,"meat",3,563.4,187.8,7666.66666666667,"Carnivora"
"212","Y","Mammalia","Chiroptera","Pteropodidae","Pteropus alecto","Black flying fox",540,"fruit/nectar/pollen",1,30,30,540,"Chiroptera"
"213","Y","Mammalia","Chiroptera","Pteropodidae","Pteropus poliocephalus","Grey-headed flying fox",692,"fruit/nectar/pollen",1,28.5,28.5,692,"Chiroptera"
"214","Y","Mammalia","Chiroptera","Pteropodidae","Pteropus rufus","Madagascan Flying Fox",625,"fruit/nectar/pollen",4,120,30,156.25,"Chiroptera"
"215","Y","Aves","Passeriformes","Pycnonotidae","Pycnonotus xanthopygos","White-Spectacled Bulbul",74,"fruit/nectar/pollen",19,366.7,19.3,3.89473684210526,"Flying Birds"
"216","Y","Aves","Passeriformes","Pycnonotidae","Pycnonotus xanthopygos","White-Spectacled Bulbul",37,"protein",4,77.2,19.3,9.25,"Flying Birds"
"217","N","Mammalia","Primates","Cercopithecidae","Pygathrix nemaeus","red-shanked douc langur",5980,"fiber/foliage",5,5850,1170,1196,"Primates"
"218","N","Reptilia","Squamata","Boidae","Python molurus","Indian python",91000,"meat",7,352800,50400,13000,"Reptilia"
"219","N","Reptilia","Squamata","Pythonidae","Python regius","Ball python",3900,"unknown",18,56160,3120,216.666666666667,"Reptilia"
"220","N","Mammalia","Rodentia","Muridae","Rattus norvegicus","common rat",590,"fiber/foliage",12,4752,396,49.1666666666667,"Rodentia"
"221","N","Mammalia","Rodentia","Muridae","Rattus rattus","rat",242,"fiber/foliage",10,450,45,24.2,"Rodentia"
"222","N","Aves","Struthioniformes","Rheidae","Rhea americana","greater rhea",72000,"fiber/foliage",15,5848.7818785,389.9187919,4800,"Non-Flying Birds"
"223","N","Mammalia","Primates","Cercopithecidae","Rhinopithecus bieti","Snub-Nosed Monkey",11750,"fruit/nectar/pollen",3,4680,1560,3916.66666666667,"Primates"
"224","N","Mammalia","Primates","Cercopithecidae","Rhinopithecus bieti","Snub-Nosed Monkey",11750,"fiber/foliage",3,5400,1800,3916.66666666667,"Primates"
"225","Y","Mammalia","Chiroptera","Pteropodidae","Rousettus aegyptiacus","Egyptian fruit bat",127.5,"fruit/nectar/pollen",1,20,20,127.5,"Chiroptera"
"226","Y","Aves","Passeriformes","Pyconotidae","Rubigula flaviventris","Black-crested bulbul",27.2,"fruit/nectar/pollen",13,455,35,2.09230769230769,"Flying Birds"
"227","N","Mammalia","Primates","Callitrichidae","Saguinus fusicollis","saddle-back tamarin",807.5,"fruit/nectar/pollen",14,2415,172.5,57.6785714285714,"Primates"
"228","N","Mammalia","Primates","Callitrichidae","Saguinus oedipus","cotton-top tamarin",864,"fruit/nectar/pollen",20,4350,217.5,43.2,"Primates"
"229","Y","Aves","Passeriformes","Muscicapidae","Saxicola torquata","African stonechat",3.9,"unkown",3,156,52,1.3,"Flying Birds"
"230","Y","Mammalia","Chiroptera","Pteropodidae","Scotonycteris zenkeri","Zenker's fruit bat",20.5,"fruit/nectar/pollen",1,24,24,20.5,"Chiroptera"
"231","Y","Aves","Apodiformes","Trochilidae","Selasphorous rufus","Rufous Hummingbirds",2.5,"fruit/nectar/pollen",4,60,15,0.625,"Flying Birds"
"232","Y","Aves","Passeriformes","Parulidae","Setophag coronata","yellow rumped warbler",11.5,"fiber/foliage",11,737,67,1.04545454545455,"Flying Birds"
"233","Y","Aves","Passeriformes","Parulidae","Setophaga coronata","yellow rumped warbler",23,"fruit/nectar/pollen",34,374,11,0.676470588235294,"Flying Birds"
"234","Y","Aves","Passeriformes","Parulidae","Setophaga coronata","yellow rumped warbler",23,"protein",28,294,10.5,0.821428571428571,"Flying Birds"
"235","Y","Aves","Passeriformes","Parulidae","Setophaga coronata","yellow rumped warbler",11.5,"fiber/foliage",11,737,67,1.04545454545455,"Flying Birds"
"236","N","Mammalia","Rodentia","Sciuridae","Spermophilus columbianus","Columbian ground squirrel",1152,"protein",12,8856,738,96,"Rodentia"
"237","N","Aves","Sphenisciformes","Spheniscidae","Spheniscus demersus","African penguin",3100,"meat",12,12672,1056,258.333333333333,"Non-Flying Birds"
"238","N","Aves","Sphenisciformes","Spheniscidae","Spheniscus demersus","jackass penguin",9300,"meat",12,5276.52,439.71,775,"Non-Flying Birds"
"239","N","Reptilia","Testudines","Testudinidae","Stigmochelys pardalis","leopard tortoise",146527.5,"fruit/nectar/pollen",6,19440,3240,24421.25,"Reptilia"
"240","N","Reptilia","Testudines","Testudinidae","Stigmochelys pardalis","leopard tortoise",11650,"fiber/foliage",6,36720,6120,1941.66666666667,"Reptilia"
"241","Y","Aves","Strigiformes","Strigidae","Strix varia","Barred owl",790,"meat",12,654.999996,54.583333,65.8333333333333,"Flying Birds"
"242","Y","Aves","Stringiformes","Stringidae","Strix varia","barred owl",715,"meat",2,19.7,9.85,357.5,"Flying Birds"
"243","N","Aves","Struthioniformes","Struthionidae","Struthio camelus","common ostrich",56558,"unknown",10,10800,1080,5655.8,"Non-Flying Birds"
"244","N","Aves","Struthioniformes","Struthionidae","Struthio camelus","common ostrich",327000,"fiber/foliage",18,25957.2666,1442.07036666667,18166.6666666667,"Non-Flying Birds"
"245","Y","Mammalia","Chiroptera","Phyllostomidae","Sturnira lilium","little yellow-shouldered bat",81.7,"fruit/nectar/pollen",15,1426.8,95.12,5.44666666666667,"Chiroptera"
"246","Y","Aves","Passeriformes","Sturnidae","Sturnus vulgaris","European Starling",85,"fruit/nectar/pollen",5,35,7,17,"Flying Birds"
"247","Y","Aves","Passeriformes","Sturnidae","Sturnus vulgaris","European Starling",85,"protein",5,60,12,17,"Flying Birds"
"248","N","Mammalia","Artiodactyla","Suidae","Sus scrofa","pig",507000,"fiber/foliage",30,43630.8,1454.36,16900,"Artiodactyla"
"249","Y","Mammalia","Chiroptera","Pteropodidae","Syconycteris australis","Common blossum bat",39.4,"fruit/nectar/pollen",6,399,66.5,6.56666666666667,"Chiroptera"
"250","Y","Aves","Passeriformes","Sylviidae","Sylvia atricapilla","Eurasian Blackcap",15.1,"unkown",37,1350.87,36.51,0.408108108108108,"Flying Birds"
"251","Y","Aves","Passeriformes","Sylviidae","Sylvia borin","Garden Warbler",19,"unkown",37,2923,79,0.513513513513513,"Flying Birds"
"252","Y","Aves","Passeriformes","Sylviidae","Sylvia cantillans","Subalpine Warbler",10.5,"unkown",10,299,29.9,1.05,"Flying Birds"
"253","Y","Aves","Passeriformes","Sylviidae","Sylvia communis","Common Whitethroat",15,"unkown",6,244.8,40.8,2.5,"Flying Birds"
"254","Y","Aves","Passeriformes","Sylviidae","Sylvia melanocephala","Sardinian Warbler",13,"unkown",59,1947,33,0.220338983050847,"Flying Birds"
"255","Y","Aves","Passeriformes","Sylviidae","Sylvia undata","dartord warbler",11,"unkown",2,83,41.5,5.5,"Flying Birds"
"256","N","Mammalia","Rodentia","Sciuridae","Tamias amoenus","yellow-pine chipmunk",123.8,"protein",12,3420,285,10.3166666666667,"Rodentia"
"257","N","Mammalia","Perissodactyla","Tapiridae","Tapirus bairdii","Baird's tapir",9e+05,"fruit/nectar/pollen",4,63360,15840,225000,"Perissodactyla"
"258","N","Mammalia","Perissodactyla","Tapiridae","Tapirus indicus","Malaysian tapir",558000,"fiber/foliage",18,31320,1740,31000,"Perissodactyla"
"259","N","Mammalia","Perissodactyla","Tapiridae","Tapirus terrestris","lowland tapir",386000,"fiber/foliage",30,42300,1410,12866.6666666667,"Perissodactyla"
"260","Y","Aves","Musophagiformes","Musophagidae","Tauraco hartlaubi","Hartlaub's turaco",235,"fruit/nectar/pollen",17,578,34,13.8235294117647,"Flying Birds"
"261","N","Mammalia","Carnivora","Mustelidae","Taxidea taxus","American badger",8000,"protein",6,3110.4,518.4,1333.33333333333,"Carnivora"
"262","N","Reptilia","Testudines","Emydidae","Terrapene carolina","Florida box Turtle",359.5,"fruit/nectar/pollen",11,236148,21468,32.6818181818182,"Reptilia"
"263","N","Reptilia","Testudines","Emydidae","Trachemys scripta elegans","Red-eared Slider Turtle",566.5,"fiber/foliage",8,59520,7440,70.8125,"Reptilia"
"264","N","Reptilia","Squamata","Scincidae","Trachylepis margaritifer","Rainbow Skinks",37.3,"protein",15,40725,2715,2.48666666666667,"Reptilia"
"265","N","Mammalia","Primates","Cercopithecidae","Trachypithecus cristatus","silvered leaf monkey",10800,"fruit/nectar/pollen",10,4530,453,1080,"Primates"
"266","N","Mammalia","Primates","Cercopithecidae","Trachypithecus francoisi","Francois's langur",11920,"fiber/foliage",8,7032,879,1490,"Primates"
"267","N","Mammalia","Primates","Cercopithecidae","Trachypithecus obscurus","dusky leaf monkey",12000,"fruit/nectar/pollen",4,4188,1047,3000,"Primates"
"268","N","Mammalia","Artiodactyla","Tragulidae","Tragulus napu","greater mouse deer",6500,"fiber/foliage",1,2940,2940,6500,"Artiodactyla"
"269","N","Mammalia","Carnivora","Ursidae","Tremarctos ornatus","spectacled bear",130000,"fiber/foliage",2,1920,960,65000,"Carnivora"
"270","Y","Aves","Passeriformes","Troglodytidae","Troglodytes aedon","house wren",11,"protein",9,72,8,1.22222222222222,"Flying Birds"
"271","Y","Aves","Passeriformes","Turdidae","Turdus helleri","Thrush Species",66,"fruit/nectar/pollen",5,200,40,13.2,"Flying Birds"
"272","Y","Aves","Passeriformes","Turdidae","Turdus merula","Common Blackbird",103,"unkown",7,413.7,59.1,14.7142857142857,"Flying Birds"
"273","Y","Aves","Passeriformes","Turdidae","Turdus migratorius","American robin",77,"fruit/nectar/pollen",10,110,11,7.7,"Flying Birds"
"274","Y","Aves","Passeriformes","Turdidae","Turdus migratorius","American robin",77,"protein",9,171,19,8.55555555555556,"Flying Birds"
"275","Y","Aves","Passeriformes","Turdidae","Turdus migratorius","robin",150,"fruit/nectar/pollen",14,350,25,10.7142857142857,"Flying Birds"
"276","Y","Aves","Passeriformes","Turdidae","Turdus philomelos","Song thrush",78.5,"unkown",4,242,60.5,19.625,"Flying Birds"
"277","N","Reptilia","Squamata","Colubridae","Uromacer oxyrhynchus","pointed snake",0,"meat",2,5184,2592,0,"Reptilia"
"278","N","Mammalia","Carnivora","Ursidae","Ursus arctos","brown bear",340000,"fruit/nectar/pollen",6,1110,185,56666.6666666667,"Carnivora"
"279","N","Mammalia","Carnivora","Ursidae","Ursus arctos","brown bear",340000,"meat",6,2892,482,56666.6666666667,"Carnivora"
"280","N","Mammalia","Primates","Lemuridae","Varecia editorum","Black and White Ruffed Lemur",3600,"fruit/nectar/pollen",32,6233.92,194.81,112.5,"Primates"
"281","N","Mammalia","Primates","Lemuridae","Varecia variegata","black-and-white-ruffed lemur",29782,"fiber/foliage",36,6103.8,169.55,827.277777777778,"Primates"
"282","Y","Mammalia","Chiroptera","Vespertilionidae","Vespertilio murinus","Parti-colored bat",14.3,"protein",5,510,102,2.86,"Chiroptera"
"283","N","Mammalia","Carnivora","Otariidae","Zalophus californianus","California sea lions",80000,"protein",4,1008,252,20000,"Carnivora"
"284","Y","Aves","Passeriformes","Zosteropidae","Zosterops lateralis","Silvereye",31,"fruit/nectar/pollen",54,1485,27.5,0.574074074074074,"Flying Birds"
"285","Y","Aves","Passeriformes","Zosteropidae","Zosterops pallidus","Cape White-eye",10.19,"protein",10,117.2,11.72,1.019,"Flying Birds"
"286","Y","Aves","Passeriformes","Zosteropidae","Zosterops pallidus","Cape White-eye",21.3,"fruit/nectar/pollen",20,475.5,23.775,1.065,"Flying Birds"
