Genus species,can_fly,Class,Order,phylo_dist,Family,phylo_name,Common Name,Typical_Diet,Mass g (mean/median from study),mass-citation-if-not-from-retention-study,Food in Feeding Trial,Feeding.Trial.Food.Cat,N_individuals,N_trials,retention metric description,Minimum (min),IQR_1,Median (min),Mean (min),IQR_3,Maximum (min),SD,SE,mrt (min),mrt_sd,mrt_se,Retention.Citation,Notes,includes keywords,original submision
Alopochen aegyptiaca,Y,Aves,Anseriformes,,Anatidae,Alopochen_aegyptiaca,Egyptian goose,omnivore,2220,,Prionium serratum seeds,fiber/foliage,10,1,retention time,,,,,,1800,,,274.2,11.4,,"Reynolds C, Cumming GS (2016) Seed traits and bird species influence the dispersal parameters of wetland plants. Freshwater Biology 61:1157-1175",,time,no
Alopochen aegyptiaca,Y,Aves,Anseriformes,,Anatidae,Alopochen_aegyptiaca,Egyptian goose,omnivore,2220,,Ruppia maritima seeds,fiber/foliage,10,1,retention time,,,,,,1800,,,308.4,22.8,,"Reynolds C, Cumming GS (2016) Seed traits and bird species influence the dispersal parameters of wetland plants. Freshwater Biology 61:1157-1176",,time,no
Alouatta caraya ,N,Mammalia,Primates,,Atelidae,Alouatta_caraya,black howler monkey,folivore,8110,,"soybean, corn, fruit nectar (low fiber diet) + Co-EDTA liquid marker",fiber/foliage,3,1,transit time; MRT,,,,990,,,624,,1104,300,,Edwards and Ullrey (1999b),,Y,N
Alouatta caraya ,N,Mammalia,Primates,,Atelidae,Alouatta_caraya,black howler monkey,folivore,8110,,"soybean, corn, fruit nectar (high fiber diet) + Co-EDTA liquid marker",fiber/foliage,3,1,transit time; MRT,,,,570,,,372,,2304,1026,,Edwards and Ullrey (1999b),,Y,N
Alouatta palliata,N,Mammalia,Primates,,Atelidae,Alouatta_palliata,mantled howler monkey,folivore,6900,,mixed fruit/veggies/bread/etc + plastic particle marker,protein,4,1,TT,,,,1224,,,,,,,,Milton (1984),,N,N
Alouatta palliata,N,Mammalia,Primates,,Atelidae,Alouatta_palliata,mantled howler monkey,folivore,5850,,"soybean, corn, fruit nectar (low fiber diet) + acetate bead marker",fiber/foliage,2,1,transit time; MRT,,,,1080,,,132,,1542,876,,Edwards and Ullrey (1999b),,Y,N
Alouatta palliata,N,Mammalia,Primates,,Atelidae,Alouatta_palliata,mantled howler monkey,folivore,5850,,"soybean, corn, fruit nectar (low fiber diet) + Co-EDTA liquid marker",fiber/foliage,2,1,transit time; MRT,,,,450,,,0,,2016,414,,Edwards and Ullrey (1999b),,Y,N
Alouatta palliata,N,Mammalia,Primates,,Atelidae,Alouatta_palliata,mantled howler monkey,folivore,5850,,"soybean, corn, fruit nectar (low fiber diet) + Cr particle marker",fiber/foliage,2,1,transit time; MRT,,,,720,,,384,,2268,1416,,Edwards and Ullrey (1999b),,Y,N
Alouatta palliata,N,Mammalia,Primates,,Atelidae,Alouatta_palliata,mantled howler monkey,folivore,6450,,"soybean, corn, fruit nectar (high fiber diet) + acetate bead marker",fiber/foliage,2,1,transit time; MRT,,,,810,,,510,,1524,6,,Edwards and Ullrey (1999b),,Y,N
Alouatta palliata,N,Mammalia,Primates,,Atelidae,Alouatta_palliata,mantled howler monkey,folivore,6450,,"soybean, corn, fruit nectar (high fiber diet) + Co-EDTA liquid marker",fiber/foliage,2,1,transit time; MRT,,,,450,,,254.4,,1836,228,,Edwards and Ullrey (1999b),,Y,N
