Genus species,can_fly,Class,Order,phylo_dist,Family,phylo_name,Common Name,Typical_Diet,Mass g (mean/median from study),mass-citation-if-not-from-retention-study,Food in Feeding Trial,Feeding.Trial.Food.Cat,N_individuals,N_trials,retention metric description,Minimum (min),IQR_1,Median (min),Mean (min),IQR_3,Maximum (min),SD,SE,mrt (min),mrt_sd,mrt_se,Retention.Citation,Notes,includes keywords,original submision
Meleagris gallopavo,Y,Aves,Galliformes,,Phasianidae,Meleagris_gallopavo,Turkey,omnivore,6650,"Wild Turkey Identification, All About Birds, Cornell Lab of Ornithology",alfalfa pellet w/Cr,fiber/foliage,6,1,transit time,,,,,,,,,1398,,,"Frei S, Ortmann S, Kreuzer M, Hatt J-M, Clauss M (2017) Digesta retention patterns in geese (Anser anser) and turkeys (Meleagris gallopavo) and deduced function of avian caeca. Comparative Biochemistry and Physiology A 204:219-231",no reported standard deviation,gut,n
Meleagris gallopavo,Y,Aves,Galliformes,,Phasianidae,Meleagris_gallopavo,Turkey,omnivore,6650,"Wild Turkey Identification, All About Birds, Cornell Lab of Ornithology",alfalfa pellet w/Ce,fiber/foliage,6,1,transit time,,,,,,,,,570,,,"Frei S, Ortmann S, Kreuzer M, Hatt J-M, Clauss M (2017) Digesta retention patterns in geese (Anser anser) and turkeys (Meleagris gallopavo) and deduced function of avian caeca. Comparative Biochemistry and Physiology A 204:219-232",no reported standard deviation,gut,n
Melogale moschata,N,Mammalia,Carnivora,,Mustelidae,Melogale_moschata,chinese ferret-badger,omnivore,2000,Melogale moschata (Chinese ferret-badger) | INFORMATION | Animal Diversity Web,fruit,fruit/nectar/pollen,35,1,passage time,,,,211.8,,63.6,,,,,,"Zhou, You-Bing & Zhang, Liang & Kaneko, Yayoi & Newman, Chris & Wang, Xiao-Ming. (2008). Frugivory and seed dispersal by a small carnivore, the Chinese ferret-badger, Melogale moschata, in a fragmented subtropical forest of central China. Forest Ecology and Management. 255. 1595-1603. 10.1016/j.foreco.2007.11.018.",,"gut, passage",N
Meriones unguiculatus,N,Mammalia,Rodentia,0,Muridae,Meriones_unguiculatus,Mongolian gerbils,folivore,51.3,median of initial masses for low and high fiber,Co-EDTA or Cr-cell walls in foliage slush,fiber/foliage,11,1,transit time: time from beginning of feeding to first 5% of food in feces,,,,67.5,,,6,,657,,,Pei et al. 2001b,took mean of two markers of both high and low fibre diet,,Yes
Mesocricetus auratus,N,Mammalia,Rodentia,0,Cricetidae,Mesocricetus_auratus,hamster,folivore,105,,"alfalfa, wheat bran, maize, sucrose + Co-EDTA",fiber/foliage,6,,transit time,,,,198,,,,,546,,,Sakaguchi et al 1987,,no,No
Mesocricetus auratus,N,Mammalia,Rodentia,0,Cricetidae,Mesocricetus_auratus,hamster,folivore,105,,dry fruit and fiber,fiber/foliage,8,1,Transit time: time from beginning of feeding to first sight of marker in feces,,,,612,,,4.2,,,,,Huang et al 2007,took control rather than high cardamom values,,Yes
Microtus agrestis,N,Mammalia,Rodentia,,Cricetidae,Microtus_agrestis,short-tailed field vole,folivore,28.6,,fiber pellets + Co-EDTA liquid marker,fiber/foliage,6,1,mean retention time,,,,,,,,,336,30,,Hagen et al. (2018),,Y,N
Microtus agrestis,N,Mammalia,Rodentia,,Cricetidae,Microtus_agrestis,short-tailed field vole,folivore,28.6,,fiber pellets + Cr particle marker,fiber/foliage,6,1,mean retention time,,,,,,,,,288,54,,Hagen et al. (2018),,Y,N
Microtus townsendii,N,Mammalia,Rodentia,0,Cricetidae,Microtus_townsendii,Townsend vole,folivore,54.9,,peanut butter w/Co-EDTA,protein,6,,transit time,,,,102,,,18,,888,114,,Hume et al 1993,2 equations for mrt,yes,No
Microtus townsendii,N,Mammalia,Rodentia,0,Cricetidae,Microtus_townsendii,Townsend vole,folivore,54.9,,peanut butter w/cell wall constituents,protein,6,,transit time,,,,102,,,24,,786,144,,Hume et al 1993,2 equations for mrt,yes,No
Milvus milvus,Y,Aves,Accipitriformes,,Accipitridae,Milvus_milvus,red kite,carnivore,1033.5,,"cockerel, pigeon, rabbit",meat,2,1,transit time,,,,,,,,,449.4,0,,"Barton NWH, Houston DC (1993) The influence of gut morphology on digestion time in raptors. Comparative Biochemistry and Physiology A 105:571–578",,time,n
Mirounga angustirostris,N,Mammalia,Carnivora,,Phocidae,Mirounga_angustirostris,northern elephant seal,carnivore,750000,,gelatin capsules + teflon-coated magnetic stirrers,protein,13,1,"transit time, reported as initial defecation time",,,,288,,,,,,,,Helm (1984),,Y,N
Mirounga leonina,N,Mammalia,Carnivora,,Phocidae,Mirounga_leonina,southern elephant seals,carnivore,2050000,animaldiversity.org,fish + Yb particle marker,meat,3,11,MRT,,,,,,,,,690,,,Krockenberger and Bryden (1994),estimate from Thielemans et al 1978; averaged by marker,Y,N
Mirounga leonina,N,Mammalia,Carnivora,,Phocidae,Mirounga_leonina,southern elephant seals,carnivore,2050000,animaldiversity.org,fish + Cr-EDTA liquid marker,meat,3,9,MRT,,,,,,,,,724,,,Krockenberger and Bryden (1994),,Y,N
Mitu salvini,N,Aves,Galliformes,,Cracidae,Mitu_salvini,Salvin's curassows,frugivore,3100,Salvin's curassow - Wikipedia,G. repens fruit,fruit/nectar/pollen,2,1,retention time,,,,,,368,,,112,80,,"Yumoto T (1999) Seed dispersal by Salvin's Curassow, Mitu salvini (Cracidae), in a tropical forest of colombia: direct measurements of dispersal distance. Biotropica 31:654-660",,time,no
Mitu salvini,N,Aves,Galliformes,,Cracidae,Mitu_salvini,Salvin's curassows,frugivore,3100,Salvin's curassow - Wikipedia,F. sphenophylla fruit,fruit/nectar/pollen,2,1,retention time,,,,,,428,,,195,37,,"Yumoto T (1999) Seed dispersal by Salvin's Curassow, Mitu salvini (Cracidae), in a tropical forest of colombia: direct measurements of dispersal distance. Biotropica 31:654-661",,time,no
Mitu salvini,N,Aves,Galliformes,,Cracidae,Mitu_salvini,Salvin's curassows,frugivore,3100,Salvin's curassow - Wikipedia,S. americana fruit,fruit/nectar/pollen,2,1,retention time,,,,,,529,,,115,116,,"Yumoto T (1999) Seed dispersal by Salvin's Curassow, Mitu salvini (Cracidae), in a tropical forest of colombia: direct measurements of dispersal distance. Biotropica 31:654-662",,time,no
Molossus molossus,Y,Mammalia,Chiroptera,188,Molossidae,Molossus_molossus,Velvety free-tailed bat,insectivore,10.7,mean as reported in paper,"dye introduced through intubation, then track by lethal sampling at periodic intervals",unknown,5,1,"5 bats killed at 5 diff time points; first site of dye in colon; reported value at death in which ""some dye was still visible"" in all guts",,,,120,,,,,,,,Klite 1965,bats killed at 120 still had some dye in colon; formerly called Molossus major,,Yes
Monachus schauinslandi,N,Mammalia,Carnivora,,Phocidae,Neomonachus_schauinslandi,Hawaiian monk seal,carnivore,186000,https://animaldiversity.org/accounts/Monachus_schauinslandi/,herring + chromic oxide and corn kernel markers,meat,3,2,transit time; MRT,,,,840,,,288,,1020,180,,Goodman-Lowe et al. (1997),,N,N
Morus capensis,Y,Aves,Suliformes,,Sulidae,Morus_capensis,Cape gannet,carnivore,2600,https://en.wikipedia.org/wiki/Cape_gannet,pilchard,meat,5,4,mean retention time,,,,,,,,,540,,,Jackson S (1992) Do seabird gut sizes and mean retention times reflect adaptation to diet and foraging method? Physiological Zoology 65:674-700,"MRTs estimated from graph, could not estimate SD","gastrointestinal, transit, time",n
Morus capensis,Y,Aves,Suliformes,,Sulidae,Morus_capensis,Cape gannet,carnivore,2600,https://en.wikipedia.org/wiki/Cape_gannet,squid,meat,5,4,mean retention time,,,,,,,,,630,,,Jackson S (1992) Do seabird gut sizes and mean retention times reflect adaptation to diet and foraging method? Physiological Zoology 65:674-701,"MRTs estimated from graph, could not estimate SD","gastrointestinal, transit, time",
Morus capensis,Y,Aves,Suliformes,,Sulidae,Morus_capensis,Cape gannet,carnivore,2600,https://en.wikipedia.org/wiki/Cape_gannet,prawn,meat,5,4,mean retention time,,,,,,,,,720,,,Jackson S (1992) Do seabird gut sizes and mean retention times reflect adaptation to diet and foraging method? Physiological Zoology 65:674-702,"MRTs estimated from graph, could not estimate SD","gastrointestinal, transit, time",
Morus capensis,Y,Aves,Pelecaniformes,,Sulidae,Morus_capensis,cape gannet,carnivore,2600,Morus capensis (Cape gannet) | INFORMATION | Animal Diversity Web,tilapia,meat,4,2,transit time,,,,12.7,,,1.74,,,,,"Laugksch RC, Duffy DC (1986) Food transit rates in cape gannets and jackass penguins. The Condor 88:117-120",,"transit, rate",n
Mus musculus,N,Mammalia,Rodentia,,Muridae,Mus_musculus,laboratory mouse,folivore,29,,hydrated alfalfa,fiber/foliage,6,1,MRT,,,,,,,,,240,,,Karasov et al. (1986),averaged MRT upper and lower limits,Y,N
Muscicaps striata,Y,Aves,Passeriformes,,Muscicapidae,Muscicapa_ferruginea,Spotted flycatcher,insectivore,17,Spotted flycatcher - Wikipedia,unknown,unknown,4,1,gut passage time,,,,48,,,16.5,,,,,"Guttal V, Bartumeus F, Hartvigsen G, Nevai AL (2011) Retention time variability as a mechanism for animal mediated long-distance dispersal. PloS One 6:e28454",study appears to be fully theoretical,time,n
Mustela putorius furo,N,Mammalia,Carnivora,188,Mustelidae,Mustela_putorius,European ferret,carnivore,1357,"reported mean of pre-male and female ferret masses in the study, not post","mixed diet mink food, poultry, eggs with dye",protein,18,1,transit time: time from beginning of feeding to first sight of marker in feces,148,,,181.8,,219,,6.7,,,,Bleavins et al 1981,,,Yes
Myadestes melanops,Y,Aves,Passeriformes,,Turdidae,Myadestes_melanops,Black-faced solitaire,frugivore,33,Black-faced solitaire - Wikipedia,artificial fruit with pulp,fruit/nectar/pollen,,1,passage rate,,,15,,,,,,,,,"Murray KG, Russell S, Picone CM, Winnett-Murray K, Sherwood W, Kuhlmann ML (1994) Fruit laxatives and seed passage rates in frugivores: consequences for plant reproductive success. Ecology 75:989-994",,"gut, rate",no
Myadestes melanops,Y,Aves,Passeriformes,,Turdidae,Myadestes_melanops,Black-faced solitaire,frugivore,33,Black-faced solitaire - Wikipedia,artificial fruit without pulp,fruit/nectar/pollen,,1,passage rate,,,27,,,,,,,,,"Murray KG, Russell S, Picone CM, Winnett-Murray K, Sherwood W, Kuhlmann ML (1994) Fruit laxatives and seed passage rates in frugivores: consequences for plant reproductive success. Ecology 75:989-995",,"gut, rate",no
Myocastor coypus,N,Mammalia,Rodentia,0,Echimyidae,Myocastor_coypus,nutria,folivore,4400,reported mean,50% alfalfa with additional supplements,fiber/foliage,5,1,transit time: first excretia of marker,,,,348,,,181.8,,2700.6,1251,,Sakaguchi and Nabata 1992,reported in table 3,,Yes
Myocastor coypus,N,Mammalia,Rodentia,0,Echimyidae,Myocastor_coypus,nutria,folivore,4400,reported mean,liquid EDTA,fiber/foliage,5,1,transit time: first excretia of marker,,,,300,,,147,,2650.2,1240.8,,Sakaguchi and Nabata 1992,reported in table 3,,Yes
Myocastor coypus,N,Mammalia,Rodentia,,Myocastoridae,Myocastor_coypus,nutria,folivore,1860,,lucerene pellets + liquid marker,fiber/foliage,4,1,mean retention time,,,,,,,,,1812,252,,Hagen et al. (2019a),,Y,N
Myocastor coypus,N,Mammalia,Rodentia,,Myocastoridae,Myocastor_coypus,nutria,folivore,1860,,lucerene pellets + particle marker,fiber/foliage,4,1,mean retention time,,,,,,,,,1452,252,,Hagen et al. (2019a),,Y,N
Myonycteris torquata,Y,Mammalia,Chiroptera,188,Pteropodidae,Myonycteris_torquata,little collared fruit bat,frugivore/nectarivore,48,mean of male and female reported weights,banana with dye,fruit/nectar/pollen,,,first dye in poop,,,,28,,,12,,,,,Wolton et al. 1982,average of times of varius defecations in table 2,,Yes
Myotis bechsteinii,Y,Mammalia,Chiroptera,188,Vespertilionidae,Myotis_bechsteinii,Bechstein's bat,insectivore,8,reported mean,fluorescent mealworm,protein,5,1,Transit time: time from feeding marker to first appearance of marker in feces,71,,95,,,124,,,309,,,Roswag et al. 2012,as reported in table 2,,Yes
Myotis daubentonii,Y,Mammalia,Chiroptera,188,Vespertilionidae,Myotis_daubentonii,Daubenton's bat,insectivore,7.6,reported mean,fluorescent mealworm,protein,17,1,Transit time: time from feeding marker to first appearance of marker in feces,32,,90,,,128,,,182,,,Roswag et al. 2012,as reported in table 2,,Yes
Myotis lucifugus,Y,Mammalia,Chiroptera,188,Vespertilionidae,Myotis_lucifugus,little brown bat,insectivore,9.5,averaged range from https://animaldiversity.org/accounts/Myotis_lucifugus/,moths and mealworms,protein,2,8,Food Transit time (time from 5 min feeding event to passage of the actual insect; averaged across all events),35,62.25,103,102.5,139.75,170,46.2241,,,,,Buchler 1975; trials was currently listed as the total number of trials between the 2 individuals (16); changed to trials per individual (8 trials each); self calculated values based on data table,,,Yes
Myotis myotis,Y,Mammalia,Chiroptera,188,Vespertilionidae,Myotis_myotis,Greater mouse-eared bat,insectivore,25.8,reported mean,fluorescent mealworm,protein,8,1,Transit time: time from feeding marker to first appearance of marker in feces,36,,55,,,71,,,123,,,Roswag et al. 2012,as reported in table 2,,Yes
Myotis myotis,Y,Mammalia,Chiroptera,188,Vespertilionidae,Myotis_myotis,Greater mouse-eared bat,insectivore,21,,cockroaches with basic fuchsin dye solution,protein,9,4,sight of dye in feces,25,,44,,,77,,,,,,Stalinski 1994,median taken as t50% (passage of 50% of food),,Yes
Myotis nattereri,Y,Mammalia,Chiroptera,188,Vespertilionidae,Myotis_nattereri,Natterer's bat,insectivore,6.8,reported mean,fluorescent mealworm,protein,3,1,Transit time: time from feeding marker to first appearance of marker in feces,39,,77,,,114,,,188,,,Roswag et al. 2012,as reported in table 2,,Yes
Myrmecophaga tridactyla,N,Mammalia,Pilosa,,Myrmecophagidae,Myrmecophaga_tridactyla,giant ant eater,insectivore,55000,,"banana, apple, pear, tomato, eggs, beef heart, dry dog food, oats, honey, skim curd, shrimp meal, lucerene meal + Co-EDTA solute marker",protein,2,8,mean retention time,,,,,,,,,2208,630,,Gull et al. (2015),,N,N
Myrmecophaga tridactyla,N,Mammalia,Pilosa,,Myrmecophagidae,Myrmecophaga_tridactyla,giant ant eater,insectivore,55000,,"banana, apple, pear, tomato, eggs, beef heart, dry dog food, oats, honey, skim curd, shrimp meal, lucerene meal + Cr particle marker",protein,8,8,mean retention time,,,,,,,,,2370,606,,Gull et al. (2015),,N,N
Nanger dama,N,Mammalia,Artiodactyla,,Bovidae,Nanger_dama,Dama gazelle,folivore,61100,,"lucerene, grass hay, wheat bran + Cr particle marker",fiber/foliage,4,1,mean retention time,,,,,,,,,1914,318,,Dittmann et al. (2015b),,N,N
Nanger dama,N,Mammalia,Artiodactyla,,Bovidae,Nanger_dama,Dama gazelle,folivore,61100,,"lucerene, grass hay, wheat bran + Co-EDTA liquid marker",fiber/foliage,4,1,mean retention time,,,,,,,,,1230,234,,Dittmann et al. (2015b),,N,N
Nanger soemmerringii,N,Mammalia,Artiodactyla,,Bovidae,Nanger_soemmerringii,Soemmerring's gazelle,folivore,35600,,"lucerene, grass hay, wheat bran + Cr particle marker",fiber/foliage,11,1,mean retention time,,,,,,,,,1890,372,,Dittmann et al. (2015b),,N,N
Nanger soemmerringii,N,Mammalia,Artiodactyla,,Bovidae,Nanger_soemmerringii,Soemmerring's gazelle,folivore,35600,,"lucerene, grass hay, wheat bran + Co-EDTA liquid marker",fiber/foliage,11,1,mean retention time,,,,,,,,,1482,270,,Dittmann et al. (2015b),,N,N
Nasalis larvatus,N,Mammalia,Primates,,Cercopithecidae,Nasalis_larvatus,proboscis monkey,folivore,10000,,leaves/veggies + Co liquid marker,fiber/foliage,4,1,MRT,,,,,,,,,2470.5,,,Matsuda et al. (2015),averaged over all animals,Y,N
Nasalis larvatus,N,Mammalia,Primates,,Cercopithecidae,Nasalis_larvatus,proboscis monkey,folivore,10000,,leaves/veggies + 2mm Cr particle marker,fiber/foliage,4,1,MRT,,,,,,,,,2472,,,Matsuda et al. (2015),averaged over all animals,Y,N
Nasalis larvatus,N,Mammalia,Primates,,Cercopithecidae,Nasalis_larvatus,proboscis monkey,folivore,10000,,leaves/veggies + 5mm La particle marker,fiber/foliage,4,1,MRT,,,,,,,,,2419.5,,,Matsuda et al. (2015),averaged over all animals,Y,N
Nasalis larvatus,N,Mammalia,Primates,,Cercopithecidae,Nasalis_larvatus,proboscis monkey,folivore,10000,,leaves/veggies + 8mm Ce particle marker,fiber/foliage,4,1,MRT,,,,,,,,,2395.5,,,Matsuda et al. (2015),averaged over all animals,Y,N
Nasalis larvatus,N,Mammalia,Primates,,Cercopithecidae,Nasalis_larvatus,proboscis monkey,folivore,10000,,"browse, peanut butter sandwiches + colored plastic markers",protein,6,3,transit time; MRT,,,,840,,,,,2940,,,Dierenfeld et al. (1992),,N,N
Nectarinia amesthystina,Y,Aves,Passeriformes,,Nectariniidae,Nectarinia_senegalensis,black sunbird,frugivore/nectivore,7.5,Black Sunbird,.25 mol sucrose solution,fruit/nectar/pollen,7,1,transit time,,,,,,,,,14.9,4.26,,"Downs CT (1997) Sugar digestion efficiencies of Gurney's sugarbirds, malachite sunbirds, and black sunbirds. Physiological Zoology 70:93-101",,transit,n
Nectarinia amesthystina,Y,Aves,Passeriformes,,Nectariniidae,Nectarinia_senegalensis,black sunbird,frugivore/nectivore,7.5,Black Sunbird,.73 mol sucrose solution,fruit/nectar/pollen,7,1,transit time,,,,,,,,,13.5,3.25,,"Downs CT (1997) Sugar digestion efficiencies of Gurney's sugarbirds, malachite sunbirds, and black sunbirds. Physiological Zoology 70:93-102",,transit,n
Nectarinia amesthystina,Y,Aves,Passeriformes,,Nectariniidae,Nectarinia_senegalensis,black sunbird,frugivore/nectivore,7.5,Black Sunbird,glucose solution,fruit/nectar/pollen,7,1,transit time,,,,,,,,,26.6,8.83,,"Downs CT (1997) Sugar digestion efficiencies of Gurney's sugarbirds, malachite sunbirds, and black sunbirds. Physiological Zoology 70:93-103",,transit,n
Nectarinia famosa,Y,Aves,Passeriformes,,Nectariniidae,Nectarinia_famosa,malachite sunbird,frugivore/nectivore,13,Malachite Sunbird,.25 mol sucrose solution,fruit/nectar/pollen,5,1,transit time,,,,,,,,,6.8,1.71,,"Downs CT (1997) Sugar digestion efficiencies of Gurney's sugarbirds, malachite sunbirds, and black sunbirds. Physiological Zoology 70:93-97",,transit,n
Nectarinia famosa,Y,Aves,Passeriformes,,Nectariniidae,Nectarinia_famosa,malachite sunbird,frugivore/nectivore,13,Malachite Sunbird,.73 mol sucrose solution,fruit/nectar/pollen,5,1,transit time,,,,,,,,,21.4,2.87,,"Downs CT (1997) Sugar digestion efficiencies of Gurney's sugarbirds, malachite sunbirds, and black sunbirds. Physiological Zoology 70:93-98",,transit,n
Nectarinia famosa,Y,Aves,Passeriformes,,Nectariniidae,Nectarinia_famosa,malachite sunbird,frugivore/nectivore,13,Malachite Sunbird,glucose solution,fruit/nectar/pollen,5,1,transit time,,,,,,,,,39,12.65,,"Downs CT (1997) Sugar digestion efficiencies of Gurney's sugarbirds, malachite sunbirds, and black sunbirds. Physiological Zoology 70:93-99",,transit,n
Neotoma lepida,N,Mammalia,Rodentia,,Cricetidae,Neotoma_lepida,desert woodrat,folivore,125,,hydrated alfalfa,fiber/foliage,5,1,MRT,,,,,,,,,780,,,Karasov et al. (1986),averaged MRT upper and lower limits,Y,N
Neovison vison,N,Mammalia,Carnivora,188,Mustelidae,Neogale_vison,American mink,carnivore,1347.5,"reported mean of pre-male and female mink masses in the study, not post","mixed diet mink food, poultry, eggs with dye",protein,18,1,transit time: time from beginning of feeding to first sight of marker in feces,138,,,186.8,,235,,9.72,,,,Bleavins et al 1981,"reported as Mustela vison (""mink""); assumed American mink, now Neovison vison",,Yes
Neovison vison,N,Mammalia,Carnivora,188,Mustelidae,Neogale_vison,American mink,carnivore,8350,median of range: https://animaldiversity.org/accounts/Neovison_vison/,"mixed diet mink food, poultry, eggs; half wet and half dry with carmine dy",protein,1,4,transit time: time from beginning of feeding to first sight of marker in feces,62,,,142,,215,,,,,,Sibbald et al 1962,"unclear how many mink were assayed; only total number of observations reported at end; noted no difference by sex or diet type; reported as ""standard dark mink"": assumed American Mink (Neovison vison) because authors were in Canada",,Yes
Netta rufina,Y,Aves,Anseriformes,,Anatidae,Netta_rufina,Red-crested Pochard,omnivore,1150,Red Crested Pochard Duck Facts | Netta Rufina,S. litoralis seeds,fiber/foliage,3,1,transit time,,,,,,,,,1011,123.6,,"Figuerola J, Charalambidou I, Santamaria L, Green AJ (2010) Internal dispersal of seeds by waterfowl: effect of seed size on gut passage time and germination patterns. Naturwissenschaften 97:555-573",,"gut, passage, time",n
Netta rufina,Y,Aves,Anseriformes,,Anatidae,Netta_rufina,Red-crested Pochard,omnivore,1150,Red Crested Pochard Duck Facts | Netta Rufina,S. maritimus seeds,fiber/foliage,3,1,transit time,,,,,,,,,906.6,124.2,,"Figuerola J, Charalambidou I, Santamaria L, Green AJ (2010) Internal dispersal of seeds by waterfowl: effect of seed size on gut passage time and germination patterns. Naturwissenschaften 97:555-574",,"gut, passage, time",n
Notamacropus eugenii,N,Mammalia,Diprotodontia,,Macropodidae,Notamacropus_eugenii,tammar wallaby,folivore,5200,,hay + Cr particle marker,fiber/foliage,7,1,MRT,,,,,,,,,1500,360,,Munn et al. (2012),,N,N
Notamacropus eugenii,N,Mammalia,Diprotodontia,,Macropodidae,Notamacropus_eugenii,tammar wallaby,folivore,5200,,hay + Ce particle marker,fiber/foliage,7,1,MRT,,,,,,,,,1620,360,,Munn et al. (2012),,N,N
Notamacropus eugenii,N,Mammalia,Diprotodontia,,Macropodidae,Notamacropus_eugenii,tammar wallaby,folivore,5200,,hay + Co-EDTA liquid marker,fiber/foliage,7,1,MRT,,,,,,,,,96,360,,Munn et al. (2012),,N,N
Nyctalus leisleri,Y,Mammalia,Chiroptera,188,Vespertilionidae,Nyctalus_leisleri,Lesser Noctule,insectivore,12.5,reported mean,fluorescent mealworm,protein,3,1,Transit time: time from feeding marker to first appearance of marker in feces,167,,204,,,250,,,259,,,Roswag et al. 2012,as reported in table 2,,Yes
Nyctalus noctula,Y,Mammalia,Chiroptera,188,Vespertilionidae,Nyctalus_noctula,Noctule,insectivore,27,https://animaldiversity.org/accounts/Nyctalus_noctula/,"mixed diet dog food, beetles, mealworms",protein,1,1,very unclear methods; paper is a natural history report based on observations,,,,28,,,,,,,,Cranbrook 1965,very unclear methods; this paper is an old natural history report,,Yes
Nyctalus noctula,Y,Mammalia,Chiroptera,188,Vespertilionidae,Nyctalus_noctula,Noctule,insectivore,27.5,reported mean,fluorescent mealworm,protein,9,1,Transit time: time from feeding marker to first appearance of marker in feces,41,,70,,,95,,,295,,,Roswag et al. 2012,as reported in table 2,,Yes
Nyctea scandiaca,Y,Aves,Stringiformes,,Stringidae,Bubo_scandiacus,snowy owl,carnivore,1525,Nyctea scandiaca (snowy owl) | INFORMATION | Animal Diversity Web,lab mice,meat,2,1,meal to pellet interval,,,,12.02,,,4.15,,,,,"Duke GE, Evanson OA, Jegers A (1976) Meal to pellet intervals in 14 species of captive raptors. Comparative Biochemistry and Physiology A 53:1-13","some birds were fed at two different times, this did not seem to have any significant impact on the excretion time (so with the exception of the caracara which was only fed at 1100) all numbers reflected are from the 0900 feeding",,n
Nyctereutes procynoides,N,Mammalia,Carnivora,,Canidae,Nyctereutes_procyonoides,raccoon dog,omnivore,4130,,A. delciciosa fruits,fruit/nectar/pollen,6,6,mean retention time,,,,,,,,,450,,,"Mise, Yumiko & Yamazaki, Koji & Soga, Masashi & Koike, Shinsuke. (2016). Comparing methods of acquiring mammalian endozoochorous seed dispersal distance distributions. Ecological Research. 31. 1-9. 10.1007/s11284-016-1397-0.",,"gut, time",N
Nyctereutes procynoides,N,Mammalia,Carnivora,,Canidae,Nyctereutes_procyonoides,raccoon dog,omnivore,4131,,fish sausage,meat,6,6,mean retention time,,,,,,,,,775,,,"Mise, Yumiko & Yamazaki, Koji & Soga, Masashi & Koike, Shinsuke. (2016). Comparing methods of acquiring mammalian endozoochorous seed dispersal distance distributions. Ecological Research. 31. 1-9. 10.1007/s11284-016-1397-0.",,"gut, time",N
Nyctimene rabori,Y,Mammalia,Chiroptera,188,Pteropodidae,Nyctimene_albiventer,Philippine tube-nosed fruit bat,frugivore/nectarivore,75,Alcazar et al 2019,Ficus chrysolepis fruits with seeds,fruit/nectar/pollen,3,1,range of minimum transit time reported (site of seeds in feces),20-45,,57.5,,,,,,,,,Utzurrum and Heidman 1991,Range of minimum transit times reported only. Upper end of minimum time + half the range taken as the median,,Yes
Nyctophilus gouldi,Y,Mammalia,Chiroptera,188,Vespertilionidae,Nyctophilus_gouldi,Gould's long-eared bat,insectivore,9,median of female + male range combined,moths and mealworms,protein,36,,Mean Passage Time: midpoint of feeding to midpoint of defecation event,,,,56.333333,,,,0.69966667,,,,Grant 1988,"calculated mean of males, pregnant females and non-lactating females",,Yes
Nyctophilus gouldi,Y,Mammalia,Chiroptera,,Vespertillionidae,Nyctophilus_gouldi,Gould’s long-eared bat,insectivore,9.25,,mealworms + pollen marker,meat,5,1,"TT, MRT",,,,219.6,,,,9,322.8,,34.2,Morris et al. (1994),,Y,N
Nymphicus hollandicus,Y,Aves,Psittaciformes,637.9,Psittacidae,Nymphicus_hollandicus,Cockatiel,frugivore/nectarivore,97,mean reported in paper,lactated Ringer's solution; seed mix,fiber/foliage,12,1,transit time: time from ingestion to ﬁrst appearance of marker in cloaca or feces,30,,60,,,120,,,,,,Martel et al 2018,median of reported control group,,Yes
Obis aries,N,Mammalia,Artiodactyla,,Bovidae,Ovis_aries,Domestic Sheep,herbivore,110000,Ovis aries (mouflon) | INFORMATION | Animal Diversity Web,grass hay w/ fluid marker,fiber/foliage,3,1,retention time,,,,,,,,,2040,108,,"Steuer P, Südekum K-H, Müller DWH, Franz R, Kaandorp J, Clauss M, Hummel J (2011) Is there an influence of body mass on digesta mean retention time in herbivores? A comparative study on ungulates. Comparative Biochemistry and Physiology A 160:355-367",,"gut, time",no
Octodon degus,N,Mammalia,Rodentia,0,Octodontidae,Octodon_degus,degu,folivore,177,,"alfalfa, wheat bran, maize, sucrose + Co-EDTA",fiber/foliage,8,,transit time,,,,312,,,,,1164,,,Sakaguchi et al 1992c,,no,No
Octodon degus,N,Mammalia,Rodentia,0,Octodontidae,Octodon_degus,degu,folivore,177,,"alfalfa, wheat bran, maize, sucrose + cell wall constituents",fiber/foliage,8,,transit time,,,,306,,,,,930,,,Sakaguchi et al 1992c,,no,No
Octodon degus,N,Mammalia,Rodentia,,Octodontidae,Octodon_degus,degu,herbivore,285,Common degu - Wikipedia,lucerne diet w/particle marker,fiber/foliage,8,1,transit time/retention time,,,,306,,,,,930,,,"Sakaguchi E, Ohmura S (1992) Fibre digestion and digesta retention time in guinea-pigs, degus and leaf-eared mice. Comparative Biochemistry and Physiology A 103:787-793",,"transit, time",no
Octodon degus,N,Mammalia,Rodentia,,Octodontidae,Octodon_degus,degu,herbivore,286,Common degu - Wikipedia,lucerne diet w/fluid marker,fiber/foliage,8,1,transit time/retention time,,,,312,,,,,1164,,,"Sakaguchi E, Ohmura S (1992) Fibre digestion and digesta retention time in guinea-pigs, degus and leaf-eared mice. Comparative Biochemistry and Physiology A 103:787-794",,"transit, time",no
Odobenus rosmarus divergens,N,Mammalia,Carnivora,,Odobenidae,Odobenus_rosmarus,Pacific walrus,carnivore,170000,,formula + carmine dye liquid marker,protein,2,53,"TT (referred to as initial passage time, IPT)",420,,870,,,1260,,,,,,Kastelein et al. (2003b),trials not evenly distributed amongst individuals; approx. mass recorded at 12 mo (time of study),Y,N
