"genus.species","fly","class","order","family","common.name","sum_mass","trial.diet","N_tot","total_MRT","MRT","avg_mass","re_class","MRT_hrs","mass_kg","phylo_name"
"Chinchilla laniger","N","Mammalia","Rodentia","Chinchillidae","long-tailed chinchilla",1026,"fiber/foliage",12,17100,1425,85.5,"Rodents",23.75,0.0855,"Chinchilla_lanigera"
"Choeropsis liberiensis","N","Mammalia","Artiodactyla","Hippopotamidae","pygmy hippo",654000,"fiber/foliage",18,65160,3620,36333.3333333333,"Even-toed Ungulates",60.3333333333333,36.3333333333333,"Hexaprotodon_liberiensis"
"Colobus angolensis; Colobus polykomos; Trachypithecus johnii","N","Mammalia","Primates","Cercopithecidae","colobine monkey",4350,"unknown",9,29880,3320,483.333333333333,"Primates",55.3333333333333,0.483333333333333,"Colobus_angolensis"
"Colobus guereza","N","Mammalia","Primates","Cercopithecidae","black and white colubus monkey",6480,"fiber/foliage",6,16314,2719,1080,"Primates",45.3166666666667,1.08,"Colobus_guereza"
"Connochaetes taurinus","N","Mammalia","Artiodactyla","Bovidae","Blue Wildebeest",388000,"fiber/foliage",8,18000,2250,48500,"Even-toed Ungulates",37.5,48.5,"Connochaetes_taurinus"
"Cuniculus paca","N","Mammalia","Rodentia","Cuniculidae","lowland paca",46400,"fruit/nectar/pollen",30,81080,2702.66666666667,1546.66666666667,"Rodents",45.0444444444444,1.54666666666667,"Cuniculus_paca"
"Diceros bicornis","N","Mammalia","Perissodactyla","Rhinocerotidae","Black Rhino",2200000,"fiber/foliage",8,17520,2190,275000,"Odd-toed Ungulates",36.5,275,"Diceros_bicornis"
"Diceros bicornis","N","Mammalia","Perissodactyla","Rhinocerotidae","black rhinoceros",2386000,"fiber/foliage",12,24840,2070,198833.333333333,"Odd-toed Ungulates",34.5,198.833333333333,"Diceros_bicornis"
"Dicotyles tajacu","N","Mammalia","Artiodactyla","Tayassuidae","collared peccary",6450,"unknown",21,38640,1840,307.142857142857,"Even-toed Ungulates",30.6666666666667,0.307142857142857,"Pecari_tajacu"
"Dolichotis patagonum","N","Mammalia","Rodentia","Caviidae","Patagonian mara",45480,"fiber/foliage",26,26418,1016.07692307692,1749.23076923077,"Rodents",16.9346153846154,1.74923076923077,"Dolichotis_patagonum"
"Dromaius novaehollandiae","N","Aves","Struthioniformes","Dromaiidae","emu",99000,"fiber/foliage",6,471,78.5,16500,"Non-Flying Birds",1.30833333333333,16.5,"Dromaius_novaehollandiae"
"Dromaius novaehollandiae","N","Aves","Casuariiformes","Casuariidae","Emu",99001,"fiber/foliage",24,6522,271.75,4125.04166666667,"Non-Flying Birds",4.52916666666667,4.12504166666667,"Dromaius_novaehollandiae"
"Ducula spilorrhoa","Y","Aves","Columbiformes","Columbidae","Torres imperial pigeon",445,"fruit/nectar/pollen",4,378,94.5,111.25,"Flying Birds",1.575,0.11125,"Ducula_bicolor"
"Elaenia parvirostris","Y","Aves","Passeriformes","Tyrannidae","Short Billed Elaenia",32,"fiber/foliage",2,86,43,16,"Flying Birds",0.716666666666667,0.016,"Elaenia_parvirostris"
"Elaphurus davidianus","N","Mammalia","Artiodactyla","Cervidae","Père David's deer",450000,"fiber/foliage",15,48900,3260,30000,"Even-toed Ungulates",54.3333333333333,30,"Elaphurus_davidianus"
"Eptesicus serotinus","Y","Mammalia","Chiroptera","Vespertilionidae","Serotine bat",23.1,"protein",5,870,174,4.62,"Bats",2.9,0.00462,"Eptesicus_serotinus"
"Equus africanus","N","Mammalia","Perissodactyla","Equidae","African wild donkey",470400,"fiber/foliage",10,21870,2187,47040,"Odd-toed Ungulates",36.45,47.04,"Equus_asinus"
"Equus asinus","N","Mammalia","Perissodactyla","Equidae","donkey",2799500,"fiber/foliage",66,173934,2635.36363636364,42416.6666666667,"Odd-toed Ungulates",43.9227272727273,42.4166666666667,"Equus_asinus"
"Equus asinus","N","Mammalia","Perissodactyla","Equidae","African wild donkey",250000,"fiber/foliage",5,19800,3960,50000,"Odd-toed Ungulates",66,50,"Equus_asinus"
"Equus caballus","N","Mammalia","Perissodactyla","Equidae","horse",15334500,"fiber/foliage",154,304575.42856,1977.76252311688,99574.6753246753,"Odd-toed Ungulates",32.9627087186147,99.5746753246753,"Equus_caballus"
"Equus caballus","N","Mammalia","Perissodactyla","Equidae","domestic pony",454000,"fiber/foliage",6,138,23,75666.6666666667,"Odd-toed Ungulates",0.383333333333333,75.6666666666667,"Equus_caballus"
"Equus caballus","N","Mammalia","Perissodactyla","Equidae","domestic horse",1800000,"fiber/foliage",12,324,27,150000,"Odd-toed Ungulates",0.45,150,"Equus_caballus"
"Equus ferus","N","Mammalia","Perissodactyla","Equidae","horse",434000,"fiber/foliage",12,246,20.5,36166.6666666667,"Odd-toed Ungulates",0.341666666666667,36.1666666666667,"Equus_ferus"
"Equus grevyi","N","Mammalia","Perissodactyla","Equidae","grevy's zebra",8e+05,"fiber/foliage",8,212,26.5,1e+05,"Odd-toed Ungulates",0.441666666666667,100,"Equus_grevyi"
"Erethizon dorsatum","N","Mammalia","Rodentia","Erethizontidae","North American porcupine",22000,"fiber/foliage",6,17253,2875.5,3666.66666666667,"Rodents",47.925,3.66666666666667,"Erethizon_dorsatum"
"Eudyptes chrysocome","N","Aves","Sphenisciformes","Spheniscidae","Rock hopper penguin",8250,"meat",15,14550,970,550,"Non-Flying Birds",16.1666666666667,0.55,"Eudyptes_pachyrhynchus"
"Eulemur fulvus","N","Mammalia","Primates","Lemuridae","common brown lemur",2258.6,"fiber/foliage",6,3306.6,551.1,376.433333333333,"Primates",9.185,0.376433333333333,"Eulemur_albifrons"
"Falco naumanni","Y","Aves","Falconiformes","Falconidae","kestrel",180,"meat",5,2157,431.4,36,"Flying Birds",7.19,0.036,"Falco_naumanni"
"Falco peregrinus","Y","Aves","Falconiformes","Falconidae","peregrine",762.5,"meat",3,1265.4,421.8,254.166666666667,"Flying Birds",7.03,0.254166666666667,"Falco_peregrinus"
"Falco subbuteo","Y","Aves","Falconiformes","Falconidae","hobby",304,"meat",2,762,381,152,"Flying Birds",6.35,0.152,"Falco_subbuteo"
"Fratercula arctica","Y","Aves","Charadriiformes","Alcidae","Atlantic puffin",1260,"meat",33,11213.4,339.8,38.1818181818182,"Flying Birds",5.66333333333333,0.0381818181818182,"Fratercula_arctica"
"Fratercula arctica","Y","Aves","Charadriiformes","Alcidae","atlantic puffin",840,"meat",2,804,402,420,"Flying Birds",6.7,0.42,"Fratercula_arctica"
"Fulica atra","Y","Aves","Gruiformes","Rallidae","Common Coot",1640,"fiber/foliage",10,9588,958.8,164,"Flying Birds",15.98,0.164,"Fulica_atra"
"Fulmarus glacialis","Y","Aves","Procellariiformes","Procellariidae","northern fulmar",2744,"meat",13,5991,460.846153846154,211.076923076923,"Flying Birds",7.68076923076923,0.211076923076923,"Fulmarus_glacialis"
"Galago moholi","N","Mammalia","Primates","Galagidae","Mohol bush baby",400,"protein",16,34272,2142,25,"Primates",35.7,0.025,"Galago_moholi"
"Gallirex johnstoni","Y","Aves","Musophagiformes","Musophagidae","Ruwenzori Turaco",1425,"fruit/nectar/pollen",30,2088,69.6,47.5,"Flying Birds",1.16,0.0475,"Gallirex_johnstoni"
"Gallus gallus","Y","Aves","Galliformes","Phasianidae","chicken",7500,"fiber/foliage",30,12240,408,250,"Flying Birds",6.8,0.25,"Gallus_gallus"
"Gallus gallus domesticus","Y","Aves","Galliformes","Phasianidae","domestic chicken",5160.4,"fiber/foliage",48,18948.6,394.7625,107.508333333333,"Flying Birds",6.579375,0.107508333333333,"Gallus_gallus"
"Gallus gallus domesticus","Y","Aves","Galliformes","Phasianidae","broiler chicken",203,"fiber/foliage",120,40560,338,1.69166666666667,"Flying Birds",5.63333333333333,0.00169166666666667,"Gallus_gallus"
"Gallus gallus domesticus","Y","Aves","Galliformes","Phasianidae","white leghorn chicken",115,"fiber/foliage",120,43188,359.9,0.958333333333333,"Flying Birds",5.99833333333333,0.000958333333333333,"Gallus_gallus"
"Gazella gazella","N","Mammalia","Artiodactyla","Bovidae","Idmi gazelle",32800,"fiber/foliage",10,17520,1752,3280,"Even-toed Ungulates",29.2,3.28,"Gazella_gazella"
"Gazella spekei","N","Mammalia","Artiodactyla","Bovidae","Speke's gazelle",26000,"fiber/foliage",10,11910,1191,2600,"Even-toed Ungulates",19.85,2.6,"Gazella_spekei"
"Gazella subgutturosa marica","N","Mammalia","Artiodactyla","Bovidae","Rheem gazelle",35200,"fiber/foliage",14,28140,2010,2514.28571428571,"Even-toed Ungulates",33.5,2.51428571428571,"Gazella"
"Giraffa camelopardalis","N","Mammalia","Artiodactyla","Giraffidae","giraffe",7695400,"fiber/foliage",39,88689.6,2274.09230769231,197317.948717949,"Even-toed Ungulates",37.9015384615385,197.317948717949,"Giraffa_reticulata"
"Gorilla gorilla","N","Mammalia","Primates","Hominidae","gorilla",112300,"fruit/nectar/pollen",4,17848.8,4462.2,28075,"Primates",74.37,28.075,"Gorilla_gorilla"
"Gorilla gorilla","N","Mammalia","Primates","Hominidae","Western lowland gorilla",105000,"fruit/nectar/pollen",5,15180,3036,21000,"Primates",50.6,21,"Gorilla_gorilla"
"Gulosus aristotelis","Y","Aves","Suliformes","Phalacrocoracidae","shag",5804,"meat",12,3811.2,317.6,483.666666666667,"Flying Birds",5.29333333333333,0.483666666666667,""
"Hapalemur griseus","N","Mammalia","Primates","Lemuridae","Eastern lesser bamboo lemur",1050,"fiber/foliage",6,16808.4,2801.4,175,"Primates",46.69,0.175,"Hapalemur_aureus"
"Hemiphaga novaeseelandiae","Y","Aves","Columbiformes","Columbidae","New Zealand pigeons",630,"fruit/nectar/pollen",2,190.8,95.4,315,"Flying Birds",1.59,0.315,"Hemiphaga_novaeseelandiae"
"Hexaprotodon liberiensis","N","Mammalia","Artiodactyla","Hippopotamidae","pygmy hippopotamus",238000,"fiber/foliage",4,16080,4020,59500,"Even-toed Ungulates",67,59.5,"Hexaprotodon_liberiensis"
"Hippopotamus amphibius","N","Mammalia","Artiodactyla","Hippopotamidae","common hippopotamus",2175000,"fiber/foliage",4,17040,4260,543750,"Even-toed Ungulates",71,543.75,"Hippopotamus_amphibius"
"Hippotragus niger","N","Mammalia","Artiodactyla","Bovidae","Sable antelope",458000,"fiber/foliage",6,16380,2730,76333.3333333333,"Even-toed Ungulates",45.5,76.3333333333333,"Hippotragus_niger"
"Hydrochoerus hydrochaeris","N","Mammalia","Rodentia","Caviidae","capybara",148360,"fiber/foliage",37,75798,2048.59459459459,4009.72972972973,"Rodents",34.1432432432432,4.00972972972973,"Hydrochoerus_hydrochaeris"
"Hydrurga leptonyx","N","Mammalia","Carnivora","Phocidae","leopard seals",786000,"meat",5,21318,4263.6,157200,"Carnivora",71.06,157.2,"Hydrurga_leptonyx"
"Hylobates lar","N","Mammalia","Primates","Hylobatidae","white-handed gibbon",11920,"fiber/foliage",8,10824,1353,1490,"Primates",22.55,1.49,"Hylobates_lar"
"Hypsipetes amaurotis","Y","Aves","Passeriformes","Pycnonotidae","Brown-eared bulbul",75,"fiber/foliage",7,81.2,11.6,10.7142857142857,"Flying Birds",0.193333333333333,0.0107142857142857,"Hypsipetes_leucocephalus"
"Hypsipetes amaurotis","Y","Aves","","Pycnonotidae","Brown-eared bulbul",1125,"fiber/foliage",105,2186.8,20.8266666666667,10.7142857142857,"Flying Birds",0.347111111111111,0.0107142857142857,"Hypsipetes_leucocephalus"
"Hystrix indica","N","Mammalia","Rodentia","Hystricidae","Indian crested porcupine",64400,"fiber/foliage",12,19962,1663.5,5366.66666666667,"Rodents",27.725,5.36666666666667,"Hystrix_indica"
"Kobus ellipsiprymnus","N","Mammalia","Artiodactyla","Bovidae","waterbuck",807000,"fiber/foliage",14,29745,2124.64285714286,57642.8571428571,"Even-toed Ungulates",35.4107142857143,57.6428571428571,"Kobus_ellipsiprymnus"
"Lagostomus maximus","N","Mammalia","Rodentia","Chinchillidae","plains viscacha",7600,"fiber/foliage",32,51840,1620,237.5,"Rodents",27,0.2375,"Lagostomus_maximus"
"Lagurus lagurus","N","Mammalia","Rodentia","Cricetidae","steppe lemming",39.6,"fiber/foliage",12,2988,249,3.3,"Rodents",4.15,0.0033,"Lagurus_lagurus"
"Lama glama","N","Mammalia","Artiodactyla","Camelidae","llama",592000,"fiber/foliage",24,66240,2760,24666.6666666667,"Even-toed Ungulates",46,24.6666666666667,"Lama_glama"
"Lama guanicoe","N","Mammalia","Artiodactyla","Camelidae","guanaco",405000,"fiber/foliage",6,17772,2962,67500,"Even-toed Ungulates",49.3666666666667,67.5,"Lama_guanicoe"
"Lama pacos","N","Mammalia","Artiodactyla","Camelidae","alpaca",189000,"fiber/foliage",15,42900,2860,12600,"Even-toed Ungulates",47.6666666666667,12.6,"Vicugna_pacos"
"Lanius excubitor","Y","Aves","Passeriformes","Laniidae","Great grey shrike",65,"fruit/nectar/pollen",1,50,50,65,"Flying Birds",0.833333333333333,0.065,"Lanius_excubitor"
"Larus smithsonianus","Y","Aves","Charadriiformes","Laridae","herring gull",4535,"meat",22,7105.2,322.963636363636,206.136363636364,"Flying Birds",5.38272727272727,0.206136363636364,"Larus_smithsonianus"
"Lasiopodomys brandtii","N","Mammalia","Rodentia","Cricetidae","Brandt's vole",4.9,"fruit/nectar/pollen",11,4191,381,0.445454545454545,"Rodents",6.35,0.000445454545454545,"Lasiopodomys_brandtii"
"Litocranius walleri","N","Mammalia","Artiodactyla","Bovidae","gerenuk",74000,"fiber/foliage",2,4686,2343,37000,"Even-toed Ungulates",39.05,37,"Litocranius_walleri"
"Lontra canadensis","N","Mammalia","Carnivora","Mustelidae","northern river otter",9500,"meat",9,4617,513,1055.55555555556,"Carnivora",8.55,1.05555555555556,"Lontra_canadensis"
"Lophocebus albigena","N","Mammalia","Primates","Cercopithecidae","Gray-cheecked mangabey",5300,"fruit/nectar/pollen",2,4560,2280,2650,"Primates",38,2.65,"Lophocebus_albigena"
"Lycalopex culpaeus","N","Mammalia","Carnivora","Canidae","culpeo fox",8700,"fruit/nectar/pollen",5,3600,720,1740,"Carnivora",12,1.74,"Lycalopex_culpaeus"
"Lycalopex culpaeus","N","Mammalia","Carnivora","Canidae","culpeo fox",8700,"meat",5,8460,1692,1740,"Carnivora",28.2,1.74,"Lycalopex_culpaeus"
"Lycalopex culpaeus","N","Mammalia","Carnivora","Canidae","culpeo fox",8700,"mixed",5,5640,1128,1740,"Carnivora",18.8,1.74,"Lycalopex_culpaeus"
"Macaca cyclopis","N","Mammalia","Primates","Cercopithecidae","Taiwanese macaque",16620,"fiber/foliage",12,25344,2112,1385,"Primates",35.2,1.385,"Macaca_cyclopis"
"Macaca fascicularis","N","Mammalia","Primates","Cercopthecidae","long-tailed macaque",4100,"fiber/foliage",5,6.25,1.25,820,"Primates",0.0208333333333333,0.82,"Macaca_fascicularis"
