"genus.species","fly","class","order","family","common.name","sum_mass","trial.diet","N_tot","total_MRT","MRT","avg_mass","re_class","MRT_hrs","mass_kg","phylo_name"
"Turdus rufiventris","Y","Aves","Passeriformes","Turdidae","Rufous bellied thrush",66.8,"fiber/foliage",1,20,20,66.8,"Flying Birds",0.333333333333333,0.0668,"Turdus_rufiventris"
"Uria aalge","Y","Aves","Charadriiformes","Alcidae","common guillemot",2784,"meat",21,6314.4,300.685714285714,132.571428571429,"Flying Birds",5.01142857142857,0.132571428571429,"Uria_aalge"
"Uria aalge","Y","Aves","Charadriiformes","Alcidae","common giuillemot",1856,"meat",2,758.4,379.2,928,"Flying Birds",6.32,0.928,"Uria_aalge"
"Uria lomvia","Y","Aves","Charadriiformes","Alcidae","brunnich's guillemot",1852,"meat",12,3567.6,297.3,154.333333333333,"Flying Birds",4.955,0.154333333333333,"Uria_lomvia"
"Uromys caudimaculatus","N","Mammalia","Rodentia","Muridae","giant white-tailed rat",1270,"fiber/foliage",2,6054,3027,635,"Rodents",50.45,0.635,"Uromys_caudimaculatus"
"Ursus americanus","N","Mammalia","Carnivora","Ursidae","black bear",46950,"fiber/foliage",5,2070,414,9390,"Carnivora",6.9,9.39,"Ursus_americanus"
"Ursus americanus","N","Mammalia","Carnivora","Ursidae","black bear",46950,"protein",5,3870,774,9390,"Carnivora",12.9,9.39,"Ursus_americanus"
"Ursus arctos","N","Mammalia","Carnivora","Ursidae","brown bear",89900,"fiber/foliage",3,1260,420,29966.6666666667,"Carnivora",7,29.9666666666667,"Ursus_arctos"
"Ursus arctos","N","Mammalia","Carnivora","Ursidae","brown bear",340000,"fruit/nectar/pollen",6,2082,347,56666.6666666667,"Carnivora",5.78333333333333,56.6666666666667,"Ursus_arctos"
"Ursus arctos","N","Mammalia","Carnivora","Ursidae","brown bear",340000,"meat",6,5220,870,56666.6666666667,"Carnivora",14.5,56.6666666666667,"Ursus_arctos"
"Ursus arctos","N","Mammalia","Carnivora","Ursidae","brown bear",89900,"protein",3,2340,780,29966.6666666667,"Carnivora",13,29.9666666666667,"Ursus_arctos"
"Ursus thibetanus","N","Mammalia","Carnivora","Ursidae","Asiatic black bear",325000,"fruit/nectar/pollen",15,16699.5,1113.3,21666.6666666667,"Carnivora",18.555,21.6666666666667,"Ursus_thibetanus"
"Varecia variegata","N","Mammalia","Primates","Lemuridae","black-and-white-ruffed lemur",29782,"fiber/foliage",36,9585.6,266.266666666667,827.277777777778,"Primates",4.43777777777778,0.827277777777778,"Varecia_variegata"
"Varecia variegata","N","Mammalia","Primates","Lemuridae","Black and White Ruffed Lemur",3600,"fruit/nectar/pollen",1,264,264,3600,"Primates",4.4,3.6,"Varecia_variegata"
"Vespertilio murinus","Y","Mammalia","Chiroptera","Vespertilionidae","Parti-colored bat",14.3,"protein",5,1210,242,2.86,"Bats",4.03333333333333,0.00286,"Vespertilio_murinus"
"Vulpes lagopus","N","Mammalia","Carnivora","Canidae","arctic fox",2300,"fruit/nectar/pollen",10,11928,1192.8,230,"Carnivora",19.88,0.23,"Vulpes_lagopus"
