"fly","class","order","family","genus.species","common.name","sum_mass","trial.diet","N_tot","total_MRT","MRT","avg_mass","re_class","MRT_hrs","mass_kg"
"N","Mammalia","Primates","Cercopithecidae","Cercopithecus lhoesti","L’Hoest’s monkey",3550,"fiber/foliage",2,3124,1562,1775,"Primates",26.0333333333333,1.775
"N","Mammalia","Primates","Cercopithecidae","Cercopithecus mitis","Blue monkey",8600,"fruit/nectar/pollen",2,3000,1500,4300,"Primates",25,4.3
"N","Mammalia","Primates","Cercopithecidae","Cercopithecus neglectus","De Brazza's monkey",6500,"fruit/nectar/pollen",2,4092,2046,3250,"Primates",34.1,3.25
"N","Mammalia","Primates","Cercopithecidae","Cercopithecus pogonias","Crested mona monkey",3300,"fruit/nectar/pollen",2,3228,1614,1650,"Primates",26.9,1.65
"N","Mammalia","Primates","Cercopithecidae","Cercopithecus talapoin","Talapoin monkey",1600,"fruit/nectar/pollen",2,2016,1008,800,"Primates",16.8,0.8
"N","Mammalia","Artiodactyla","Cervidae","Cervus elaphus","red deer",223500,"fiber/foliage",36,31392,872,6208.33333333333,"Even-toed Ungulates",14.5333333333333,6.20833333333333
"N","Mammalia","Artiodactyla","Cervidae","Cervus elaphus canadensis","wapiti",845666.66,"fiber/foliage",72,34344,477,11745.3702777778,"Even-toed Ungulates",7.95,11.7453702777778
"N","Mammalia","Rodentia","Chinchillidae","Chinchilla laniger","long-tailed chinchilla",1026,"fiber/foliage",12,17100,1425,85.5,"Rodents",23.75,0.0855
"N","Mammalia","Artiodactyla","Hippopotamidae","Choeropsis liberiensis","pygmy hippo",654000,"fiber/foliage",18,65160,3620,36333.3333333333,"Even-toed Ungulates",60.3333333333333,36.3333333333333
"N","Mammalia","Primates","Cercopithecidae","Colobus angolensis; Colobus polykomos; Trachypithecus johnii","colobine monkey",4350,"unknown",9,29880,3320,483.333333333333,"Primates",55.3333333333333,0.483333333333333
"N","Mammalia","Primates","Cercopithecidae","Colobus guereza","black and white colubus monkey",6480,"fiber/foliage",6,16314,2719,1080,"Primates",45.3166666666667,1.08
"N","Mammalia","Artiodactyla","Bovidae","Connochaetes taurinus","Blue Wildebeest",388000,"fiber/foliage",8,18000,2250,48500,"Even-toed Ungulates",37.5,48.5
"N","Mammalia","Rodentia","Cuniculidae","Cuniculus paca","lowland paca",46400,"fruit/nectar/pollen",30,81080,2702.66666666667,1546.66666666667,"Rodents",45.0444444444444,1.54666666666667
"N","Mammalia","Perissodactyla","Rhinocerotidae","Diceros bicornis","Black Rhino",2200000,"fiber/foliage",8,17520,2190,275000,"Odd-toed Ungulates",36.5,275
"N","Mammalia","Perissodactyla","Rhinocerotidae","Diceros bicornis","black rhinoceros",2386000,"fiber/foliage",12,24840,2070,198833.333333333,"Odd-toed Ungulates",34.5,198.833333333333
"N","Mammalia","Artiodactyla","Tayassuidae","Dicotyles tajacu","collared peccary",6450,"unknown",21,38640,1840,307.142857142857,"Even-toed Ungulates",30.6666666666667,0.307142857142857
"N","Mammalia","Rodentia","Caviidae","Dolichotis patagonum","Patagonian mara",45480,"fiber/foliage",26,26418,1016.07692307692,1749.23076923077,"Rodents",16.9346153846154,1.74923076923077
"N","Aves","Struthioniformes","Dromaiidae","Dromaius novaehollandiae","emu",99000,"fiber/foliage",6,471,78.5,16500,"Non-Flying Birds",1.30833333333333,16.5
"N","Aves","Casuariiformes","Casuariidae","Dromaius novaehollandiae","Emu",99001,"fiber/foliage",24,6522,271.75,4125.04166666667,"Non-Flying Birds",4.52916666666667,4.12504166666667
"Y","Aves","Columbiformes","Columbidae","Ducula spilorrhoa","Torres imperial pigeon",445,"fruit/nectar/pollen",4,378,94.5,111.25,"Flying Birds",1.575,0.11125
"Y","Aves","Passeriformes","Tyrannidae","Elaenia parvirostris","Short Billed Elaenia",32,"fiber/foliage",2,86,43,16,"Flying Birds",0.716666666666667,0.016
"N","Mammalia","Artiodactyla","Cervidae","Elaphurus davidianus","Père David's deer",450000,"fiber/foliage",15,48900,3260,30000,"Even-toed Ungulates",54.3333333333333,30
"Y","Mammalia","Chiroptera","Vespertilionidae","Eptesicus serotinus","Serotine bat",23.1,"protein",5,870,174,4.62,"Bats",2.9,0.00462
"N","Mammalia","Perissodactyla","Equidae","Equus africanus","African wild donkey",470400,"fiber/foliage",10,21870,2187,47040,"Odd-toed Ungulates",36.45,47.04
"N","Mammalia","Perissodactyla","Equidae","Equus asinus","donkey",2799500,"fiber/foliage",66,173934,2635.36363636364,42416.6666666667,"Odd-toed Ungulates",43.9227272727273,42.4166666666667
"N","Mammalia","Perissodactyla","Equidae","Equus asinus","African wild donkey",250000,"fiber/foliage",5,19800,3960,50000,"Odd-toed Ungulates",66,50
"N","Mammalia","Perissodactyla","Equidae","Equus caballus","horse",15334500,"fiber/foliage",154,304575.42856,1977.76252311688,99574.6753246753,"Odd-toed Ungulates",32.9627087186147,99.5746753246753
"N","Mammalia","Perissodactyla","Equidae","Equus caballus","domestic pony",454000,"fiber/foliage",6,138,23,75666.6666666667,"Odd-toed Ungulates",0.383333333333333,75.6666666666667
"N","Mammalia","Perissodactyla","Equidae","Equus caballus","domestic horse",1800000,"fiber/foliage",12,324,27,150000,"Odd-toed Ungulates",0.45,150
"N","Mammalia","Perissodactyla","Equidae","Equus ferus","horse",434000,"fiber/foliage",12,246,20.5,36166.6666666667,"Odd-toed Ungulates",0.341666666666667,36.1666666666667
"N","Mammalia","Perissodactyla","Equidae","Equus grevyi","grevy's zebra",8e+05,"fiber/foliage",8,212,26.5,1e+05,"Odd-toed Ungulates",0.441666666666667,100
