genus.species,phylo_name
Pecari tacaju,Pecari_tajacu
Perameles nasuta,Perameles_nasuta
Pernis apivorus,Pernis
Phacochoerus africanus,Phacochoerus_africanus
Phalanger gymnotis,Phalanger_gymnotis
Phascolarctos cinereus,Phascolarctos_cinereus
Phasianus colchicus,Phasianus_colchicus
Philantomba maxwellii,Philantomba_maxwellii
Phoca groenlandica,Phoca_groenlandica
Phoca vitulina,Phoca_vitulina
Phocoena phocoena,Phocoena_phocoena
Phoebetria fusca,Phoebetria
Phoenicurus phoenicuris,Phoenicurus_phoenicurus
Phyllostomus discolor,Phyllostomus_discolor
Phyllotis darwini,Phyllotis_darwini
Phyllotis xanthopygus,Phyllotis_xanthopygus
Phytotoma rara,Phytotoma_rara
Pipistrellus pipistrellus,Pipistrellus_pipistrellus
Pipra mentalis,Pipra_fasciicauda
Pithecia monachus,Pithecia_monachus
Pithecia pithecia,Pithecia_pithecia
Plecotus auritus,Plecotus_auritus
Plectopterus gambensis,Sarkidiornis_melanotos
Podarcis erhardii,Podarcis_erhardii
Pogona vitticeps,Pogona_vitticeps
Pongo pygmaeus,Pongo_pygmaeus
Potorous tridactylus,Potorous_longipes
Potos flavus,Potos_flavus
Prionailurus bengalensis,Prionailurus_bengalensis
Promerops gurneyi,Promerops
Propithecus tattersalli,Propithecus_tattersalli
Propithecus verreauxi coquereli,Propithecus_verreauxi
Pseudocheirus peregrinus,Pseudocheirus_peregrinus
Psilopogon asiaticus,Megalaima_asiatica
Psittacus erithacus,Psittacus_erithacus
Ptenochirus jagorii,Ptenochirus_jagorii
Pteronotus rubiginosus,Pteronotus_rubiginosus
Pteronura brasiliensis,Pteronura_brasiliensis
Pteropus alecto,Pteropus_alecto
Pteropus poliocephalus,Pteropus_poliocephalus
Pteropus rufus,Pteropus_rufus
Ptiliogonys cinereus,Ptilogonys_caudatus
Pudu puda,Pudu_puda
Pycnonotus goiavier,Pycnonotus_goiavier
Pycnonotus xanthopygos,Pycnonotus_xanthopygos
Pyconotus aurigaster,Pycnonotus_aurigaster
Pyconotus joscosus,Pycnonotus_jocosus
