"genus.species","fly","class","order","family","common.name","sum_mass","trial.diet","N_tot","total_transit","transit","avg_mass","re_class","transit_hrs","mass_kg","phylo_name"
"Acanthagenys refogularis","Y","Aves","Passeriformes","Meliphagidae","spiny cheeked honeyeater",54.5,"fruit/nectar/pollen",6,243.40000002,40.56666667,9.08333333333333,"Flying Birds",0.676111111166667,0.00908333333333333,"Acanthagenys_rufogularis"
"Accipiter gentilis","Y","Aves","Falconiformes","Accipitridae","goshawk",997.5,"meat",4,86.36,21.59,249.375,"Flying Birds",0.359833333333333,0.249375,"Accipiter_gentilis"
"Adropadus milanjenis","Y","Aves","Passeriformes","Pyconotidae","stripe-cheeked greenbul",45,"fruit/nectar/pollen",90,2970,33,0.5,"Flying Birds",0.55,5e-04,""
"Aegolius acadicus","Y","Aves","Stringiformes","Stringidae","saw-whet owl",75,"meat",1,10.04,10.04,75,"Flying Birds",0.167333333333333,0.075,"Aegolius"
"Ailurus fulgens","N","Mammalia","Carnivora","Ailuridae","red panda",5130,"fiber/foliage",3,540,180,1710,"Carnivores",3,1.71,"Ailurus"
"Alca torda","Y","Aves","Charadriiformes","Alcidae","razorbill",1212,"meat",2,118.2,59.1,606,"Flying Birds",0.985,0.606,"Alca_torda"
"Alces alces","N","Mammalia","Artiodactyla","Cervidae","moose",1119000,"fiber/foliage",11,9300,845.454545454545,101727.272727273,"Even-toed Ungulates",14.0909090909091,101.727272727273,"Alces_alces"
"Allenopithecus nigroviridis","N","Mammalia","Primates","Cercopithecidae","Allen’s swamp monkey",9800,"fiber/foliage",3,3960,1320,3266.66666666667,"Primates",22,3.26666666666667,"Allenopithecus_nigroviridis"
"Alophoixus pallidus","Y","Aves","Passeriformes","Pyconotidae","Puff-throated Bulbul",42.7,"fruit/nectar/pollen",2,88,44,21.35,"Flying Birds",0.733333333333333,0.02135,"Alophoixus_pallidus"
"Alouatta caraya ","N","Mammalia","Primates","Atelidae","black howler monkey",16220,"fiber/foliage",6,4680,780,2703.33333333333,"Primates",13,2.70333333333333,"Alouatta_caraya"
"Alouatta palliata","N","Mammalia","Primates","Atelidae","mantled howler monkey",36900,"fiber/foliage",12,7560,630,3075,"Primates",10.5,3.075,"Alouatta_palliata"
"Alouatta palliata","N","Mammalia","Primates","Atelidae","mantled howler monkey",6900,"protein",4,4896,1224,1725,"Primates",20.4,1.725,"Alouatta_palliata"
"Alouatta palliata mexicana","N","Mammalia","Primates","Atelidae","Mexican howler monkey",7500,"fiber/foliage",1,1224,1224,7500,"Primates",20.4,7.5,"Alouatta_palliata"
"Alouatta pigra","N","Mammalia","Primates","Atelidae","Yucatan black howler",8900,"fiber/foliage",1,1380,1380,8900,"Primates",23,8.9,"Alouatta_pigra"
"Alouatta sara","N","Mammalia","Primates","Atelidae","Bolivian red howler monkey",49080,"fiber/foliage",12,24120,2010,4090,"Primates",33.5,4.09,"Alouatta_sara"
"Anoura geoffroyi","Y","Mammalia","Chiroptera","Phyllostomidae","Geoffrey's tailless bat",43.9,"fruit/nectar/pollen",22,2460,111.818181818182,1.99545454545455,"Bats",1.86363636363636,0.00199545454545455,"Anoura_geoffroyi"
"Arizelocichla tephrolaemus","Y","Aves","Passeriformes","Pycnonotidae","western greenbul",43.5,"fruit/nectar/pollen",4,71.2,17.8,10.875,"Flying Birds",0.296666666666667,0.010875,"Pycnonotidae"
"Artibeus jamaicensis","Y","Mammalia","Chiroptera","Phyllostomidae","Jamaican fruit bat",159.9,"fruit/nectar/pollen",26,2921.1,112.35,6.15,"Bats",1.8725,0.00615,"Artibeus_jamaicensis"
"Artibeus lituratus","Y","Mammalia","Chiroptera","Phyllostomidae","great fruit-eating bat",200.7,"fruit/nectar/pollen",90,5190,57.6666666666667,2.23,"Bats",0.961111111111111,0.00223,"Artibeus_lituratus"
"Asio flammeus","Y","Aves","Stringiformes","Stringidae","short eared owl",340.5,"meat",1,10.22,10.22,340.5,"Flying Birds",0.170333333333333,0.3405,"Asio_flammeus"
"Ateles geoffroyi","N","Mammalia","Primates","Atelidae","Geoffroy's spider monkey",7600,"protein",9,2376,264,844.444444444444,"Primates",4.4,0.844444444444444,"Ateles_geoffroyi"
"Ateles paniscus","N","Mammalia","Primates","Atelidae","red-faced spider monkey",7800,"protein",4,1260,315,1950,"Primates",5.25,1.95,"Ateles_paniscus"
"Atheris nitscheri","N","Reptilia","Squamata","Viperidae","Great Lakes bush viper",0,"meat",3,31104,10368,0,"Reptiles",172.8,0,"Atheris_nitschei"
"Bitis arietans","N","Reptilia","Squamata","Viperidae","puff ader",945.4,"meat",5,212400,42480,189.08,"Reptiles",708,0.18908,"Bitis_arietans"
"Bitis gabonica","N","Reptilia","Squamata","Viperidae","Gaboon viper",1172,"meat",8,1324800,165600,146.5,"Reptiles",2760,0.1465,"Bitis_gabonica"
"Bombycilla cedrorum","Y","Aves","Passeriformes","Bombycillidae","Cedar Waxwing",33,"fruit/nectar/pollen",8,40,5,4.125,"Flying Birds",0.0833333333333333,0.004125,"Bombycilla_cedrorum"
"Bos taurus","N","Mammalia","Artiodactyla","Bovidae","cow",5765156,"fiber/foliage",74,53201.7857144,718.943050194595,77907.5135135135,"Even-toed Ungulates",11.9823841699099,77.9075135135135,"Bos_taurus"
"Bos taurus","N","Mammalia","Artiodactyla","Bovidae","belgian blue cow",575000,"fiber/foliage",14,20160,1440,41071.4285714286,"Even-toed Ungulates",24,41.0714285714286,"Bos_taurus"
"Bos taurus","N","Mammalia","Artiodactyla","Bovidae","cow",755000,"fruit/nectar/pollen",1,9354,9354,755000,"Even-toed Ungulates",155.9,755,"Bos_taurus"
"Brachyphylla nana","Y","Mammalia","Chiroptera","Phyllostomidae","Antillean nectar bat",34.3,"fruit/nectar/pollen",8,326.4,40.8,4.2875,"Bats",0.68,0.0042875,"Brachyphylla_nana"
"Brachyteles arachnoides","N","Mammalia","Primates","Atelidae","southern muriqui",12000,"protein",1,480,480,12000,"Primates",8,12,"Brachyteles_arachnoides"
"Bubalus bubalis","N","Mammalia","Artiodactyla","Bovidae","swamp buffalo",2625006,"fiber/foliage",16,5640,352.5,164062.875,"Even-toed Ungulates",5.875,164.062875,"Bubalus_bubalis"
"Bubo virginianus","Y","Aves","Stringiformes","Stringidae","great horned owl",1500,"meat",4,53,13.25,375,"Flying Birds",0.220833333333333,0.375,"Bubo_virginianus"
"Buteo jamaicensis","Y","Aves","Accipitriformes","Accipitridae","Red-tailed hawks",1009.5,"meat",9,900,100,112.166666666667,"Flying Birds",1.66666666666667,0.112166666666667,"Buteo_jamaicensis"
"Buteo jamaicensis","Y","Aves","Falconiformes","Accipitridae","red tail hawk",1100,"meat",6,135.24,22.54,183.333333333333,"Flying Birds",0.375666666666667,0.183333333333333,"Buteo_jamaicensis"
"Buteo lagopus","Y","Aves","Falconiformes","Accipitridae","rough legged hawk",1062.5,"meat",3,65.13,21.71,354.166666666667,"Flying Birds",0.361833333333333,0.354166666666667,"Buteo_lagopus"
"Buteo platypterus","Y","Aves","Falconiformes","Accipitridae","broad winged hawk",412.5,"meat",2,43.4,21.7,206.25,"Flying Birds",0.361666666666667,0.20625,"Buteo_platypterus"
"Bycanistes bucinator","Y","Aves","Coraciiformes","Bucerotidae","Trumpeter hornbill",743,"fruit/nectar/pollen",2,154,77,371.5,"Flying Birds",1.28333333333333,0.3715,"Bycanistes_bucinator"
"Cacajao calvus","N","Mammalia","Primates","Pitheciidae"," bald uakari",3000,"protein",2,600,300,1500,"Primates",5,1.5,"Cacajao_calvus"
"Callithrix jacchus","N","Mammalia","Primates","Cebidae","common marmoset",696,"fruit/nectar/pollen",6,1296,216,116,"Primates",3.6,0.116,"Callithrix_jacchus"
"Callithrix jacchus","N","Mammalia","Primates","Callitrichidae","common marmoset",492,"fruit/nectar/pollen",16,3440,215,30.75,"Primates",3.58333333333333,0.03075,"Callithrix_jacchus"
"Canis familiaris","N","Mammalia","Carnivora","Canidae","domestic dog",11339.83,"fiber/foliage",5,2166,433.2,2267.966,"Carnivores",7.22,2.267966,"Canis_lupus"
"Canis familiaris","N","Mammalia","Carnivora","Canidae","domestic dog",11550,"meat",6,10980,1830,1925,"Carnivores",30.5,1.925,"Canis_lupus"
"Canis familiaris","N","Mammalia","Carnivora","Canidae","domestic dog",414900,"protein",99,174064.8,1758.2303030303,4190.90909090909,"Carnivores",29.3038383838384,4.19090909090909,"Canis_lupus"
"Capra hircus","N","Mammalia","Artiodactyla","Bovidae","domestic goat",31000,"fiber/foliage",27,81864,3032,1148.14814814815,"Even-toed Ungulates",50.5333333333333,1.14814814814815,"Capra_hircus"
"Capra nubiana","N","Mammalia","Artiodactyla","Bovidae","Nunian ibex",166400,"fiber/foliage",16,10224,639,10400,"Even-toed Ungulates",10.65,10.4,"Capra_nubiana"
"Caracal caracal","N","Mammalia","Carnivora","Felidae","Caracal",25950,"protein",6,8640,1440,4325,"Carnivores",24,4.325,"Caracal_caracal"
"Caracara plancus","Y","Aves","Falconiformes","Falconidae","Southern crested caracara",1348,"meat",6,4020,670,224.666666666667,"Flying Birds",11.1666666666667,0.224666666666667,"Caracara_plancus"
"Caracara plancus","Y","Aves","Falconiformes","Falconidae","caracara",1250,"meat",1,19.58,19.58,1250,"Flying Birds",0.326333333333333,1.25,"Caracara_plancus"
"Caretta caretta","N","Reptilia","Testudines","Cheloniidae","Loggerhead sea turtle",14380,"meat",8,152640,19080,1797.5,"Reptiles",318,1.7975,"Caretta_caretta"
"Caretta caretta","N","Reptilia","Testudines","Cheloniidae","Loggerhead sea turtle",13300,"protein",22,286704,13032,604.545454545455,"Reptiles",217.2,0.604545454545454,"Caretta_caretta"
"Caretta caretta","N","Reptilia","Testudines","Cheloniidae","Loggerhead sea turtle",10187.5,"unknown",8,204480,25560,1273.4375,"Reptiles",426,1.2734375,"Caretta_caretta"
"Carollia perspicillata","Y","Mammalia","Chiroptera","Phyllostomidae","Seba's short-tailed bat",33,"fruit/nectar/pollen",24,553.2,23.05,1.375,"Bats",0.384166666666667,0.001375,"Carollia_perspicillata"
"Carollia perspicillata","Y","Mammalia","Chiroptera","Phyllostomidae","Seba's short-tailed bat ",18,"fruit/nectar/pollen",6,133.8,22.3,3,"Bats",0.371666666666667,0.003,"Carollia_perspicillata"
"Carollia perspicillata","Y","Mammalia","Chiroptera","Phyllostomidae","Seba's short-tailed bat",17.3,"unknown",5,600,120,3.46,"Bats",2,0.00346,"Carollia_perspicillata"
"Casuaris casuaris","N","Aves","Casuariiformes","Cassuaridae","Southern Cassuary",558000,"fruit/nectar/pollen",82,36640,446.829268292683,6804.87804878049,"Non-Flying Birds",7.44715447154472,6.80487804878049,"Casuarius_casuarius"
"Cavia porcellus","N","Mammalia","Rodentia","Caviidae","guinea pig",11212,"fiber/foliage",66,18359.4,278.172727272727,169.878787878788,"Rodents",4.63621212121212,0.169878787878788,"Cavia_porcellus"
"Cebuella pygmaea","N","Mammalia","Primates","Callitrichidae","pygmy marmoset",200,"fruit/nectar/pollen",6,2460,410,33.3333333333333,"Primates",6.83333333333333,0.0333333333333333,"Cebuella_pygmaea"
"Cebus apella","N","Mammalia","Primates","Cebidae","tufted capuchin",3500,"protein",1,210,210,3500,"Primates",3.5,3.5,"Sapajus_apella"
"Cebus capucinus","N","Mammalia","Primates","Cebidae","Colombian white-faced capuchin",3000,"protein",3,630,210,1000,"Primates",3.5,1,"Cebus_capucinus"
"Ceratogymna atrata","Y","Aves","Bucerotiformes","Bucerotidae","Black-casqued hornbill",7155,"fruit/nectar/pollen",5,1242,248.4,1431,"Flying Birds",4.14,1.431,"Ceratogymna_atrata"
"Ceratogymna cylindricus","Y","Aves","Bucerotiformes","Bucerotidae","Brown-cheeked hornbill",6228,"fruit/nectar/pollen",6,1278,213,1038,"Flying Birds",3.55,1.038,"Bycanistes"
"Ceratogymna cylindricus","Y","Aves","Bucerotiformes","Bucerotidae","Brown-cheeked hornbill",1038,"",1,251,251,1038,"Flying Birds",4.18333333333333,1.038,"Bycanistes"
"Cercopithecus aethiops","N","Mammalia","Primates","Cercopithecidae","Vervet Monkey",5950,"fiber/foliage",1,1200,1200,5950,"Primates",20,5.95,"Chlorocebus_aethiops"
"Cercopithecus albogularis schwarzi","N","Mammalia","Primates","Cercopithecidae","samango monkey",5350,"fruit/nectar/pollen",2,2505,1252.5,2675,"Primates",20.875,2.675,"Cercopithecinae"
"Cercopithecus ascanius","N","Mammalia","Primates","Cercopithecidae","Red-tailed monkey",8785,"fruit/nectar/pollen",3,3600,1200,2928.33333333333,"Primates",20,2.92833333333333,"Cercopithecus_ascanius"
"Cercopithecus erythrotis","N","Mammalia","Primates","Cercopithecidae","Red-eared guenon",3585,"fruit/nectar/pollen",1,1236,1236,3585,"Primates",20.6,3.585,"Cercopithecus_erythrotis"
"Cercopithecus lhoesti","N","Mammalia","Primates","Cercopithecidae","L’Hoest’s monkey",3550,"fiber/foliage",2,2832,1416,1775,"Primates",23.6,1.775,"Allochrocebus_lhoesti"
"Cercopithecus mitis","N","Mammalia","Primates","Cercopithecidae","Blue monkey",8600,"fruit/nectar/pollen",2,2028,1014,4300,"Primates",16.9,4.3,"Cercopithecus_nictitans"
"Cercopithecus mitis","N","Mammalia","Primates","Cercopithecidae","blue monkey",12400,"protein",16,40256,2516,775,"Primates",41.9333333333333,0.775,"Cercopithecus_nictitans"
"Cercopithecus neglectus","N","Mammalia","Primates","Cercopithecidae","De Brazza's monkey",6500,"fruit/nectar/pollen",2,2472,1236,3250,"Primates",20.6,3.25,"Cercopithecus_neglectus"
"Cercopithecus pogonias","N","Mammalia","Primates","Cercopithecidae","Crested mona monkey",3300,"fruit/nectar/pollen",2,1992,996,1650,"Primates",16.6,1.65,"Cercopithecus_mona"
"Cercopithecus talapoin","N","Mammalia","Primates","Cercopithecidae","Talapoin monkey",1600,"fruit/nectar/pollen",2,1440,720,800,"Primates",12,0.8,"Miopithecus_talapoin"
"Cerdocyon thous","N","Mammalia","Carnivora","Canidae","crab-eating fox",5600,"fruit/nectar/pollen",2,924,462,2800,"Carnivores",7.7,2.8,"Cerdocyon_thous"
"Cervus elaphus","N","Mammalia","Artiodactyla","Cervidae","red deer",74500,"fiber/foliage",12,5544,462,6208.33333333333,"Even-toed Ungulates",7.7,6.20833333333333,"Cervus_elaphus"
"Cervus elaphus canadensis","N","Mammalia","Artiodactyla","Cervidae","wapiti",422833.33,"fiber/foliage",36,31440,873.333333333333,11745.3702777778,"Even-toed Ungulates",14.5555555555556,11.7453702777778,"Cervus_canadensis"
"Chelonia mydas","N","Reptilia","Testudines","Cheloniidae","green sea turtle",12200,"meat",13,181497.6,13961.3538461538,938.461538461538,"Reptiles",232.689230769231,0.938461538461538,"Chelonia_mydas"
"Chiropotes albinasus","N","Mammalia","Primates","Pitheciidae","white-nosed saki",3000,"protein",2,600,300,1500,"Primates",5,1.5,"Chiropotes_albinasus"
"Chrysocyon brachyurus","N","Mammalia","Carnivora","Canidae","maned wolf",51600,"protein",12,1951.2,162.6,4300,"Carnivores",2.71,4.3,"Chrysocyon_brachyurus"
"Cinnyris osea","Y","Aves","Passeriformes","Nectariniidae","Palestine sunbird",6.15,"fruit/nectar/pollen",14,484.4,34.6,0.439285714285714,"Flying Birds",0.576666666666667,0.000439285714285714,"Cinnyris_venustus"
"Colobus guereza","N","Mammalia","Primates","Cercopithecidae","black and white colubus monkey",6480,"fiber/foliage",6,13800,2300,1080,"Primates",38.3333333333333,1.08,"Colobus_guereza"
"Columba livia","Y","Aves","Columbiformes","Columbidae","Rock dove",358.7,"fiber/foliage",6,1620,270,59.7833333333333,"Flying Birds",4.5,0.0597833333333333,"Columba_livia"
"Corallus caninus","N","Reptilia","Squamata","Boidae","emerald tree boa",1500,"meat",8,292608,36576,187.5,"Reptiles",609.6,0.1875,"Corallus_caninus"
"Cordylus melanotus","N","Reptilia","Squamata","Cordylidae","common crag lizard",47.6,"protein",19,164491.17,8657.43,2.50526315789474,"Reptiles",144.2905,0.00250526315789474,"Pseudocordylus_melanotus"
"Coturnix coturnix japonica","Y","Aves","Galliformes","Phasianidae","Japanese quail",144,"protein",64,4992,78,2.25,"Flying Birds",1.3,0.00225,"Coturnix_coturnix"
"Cynopterus brachyotis","Y","Mammalia","Chiroptera","Pteropodidae","Lesser Short-nosed Fruit Bat",37.3,"fruit/nectar/pollen",10,130,13,3.73,"Bats",0.216666666666667,0.00373,"Cynopterus_brachyotis"
"Cynopterus sphinx","Y","Mammalia","Chiroptera","Pteropodidae","Greater short-nosed fruit bat",75.3,"fruit/nectar/pollen",7,2809.8,401.4,10.7571428571429,"Bats",6.69,0.0107571428571429,"Cynopterus_sphinx"
"Dama dama","N","Mammalia","Artiodactyla","Cervidae","Fallow Deer",105000,"fruit/nectar/pollen",4,6000,1500,26250,"Even-toed Ungulates",25,26.25,"Dama_dama"
"Delphinapterus leucas","N","Mammalia","Artiodactyla","Monodontidae","beluga whale",1351666.66,"meat",13,39240,3018.46153846154,103974.358461538,"Even-toed Ungulates",50.3076923076923,103.974358461538,"Delphinapterus_leucas"
"Dicaeum hirundinaceum","Y","Aves","Passeriformes","Dicaeidae","mistletoe bird",9.25,"fruit/nectar/pollen",4,54.66666668,13.66666667,2.3125,"Flying Birds",0.227777777833333,0.0023125,"Dicaeum_melanozanthum"
"Diceros bicornis","N","Mammalia","Perissodactyla","Rhinocerotidae","black rhinoceros",2386000,"fiber/foliage",12,9417.6,784.8,198833.333333333,"Odd-toed Ungulates",13.08,198.833333333333,"Diceros_bicornis"
"Dolichotis patagonum","N","Mammalia","Rodentia","Caviidae","Patagonian mara",14800,"fiber/foliage",6,3600,600,2466.66666666667,"Rodents",10,2.46666666666667,"Dolichotis_patagonum"
"Dromaius novaehollandiae","N","Aves","Struthioniformes","Dromaiidae","emu",99000,"fiber/foliage",6,1082.764849,180.460808166667,16500,"Non-Flying Birds",3.00768013611111,16.5,"Dromaius_novaehollandiae"
"Dromaius novaehollandiae","N","Aves","Casuariiformes","Cassuaridae","emu",34000,"fruit/nectar/pollen",9,32400,3600,3777.77777777778,"Non-Flying Birds",60,3.77777777777778,"Dromaius_novaehollandiae"
"Eidolon helvum","Y","Mammalia","Chiroptera","Pteropodidae","Straw-colored fruit bat",270.65,"fruit/nectar/pollen",20,2320,116,13.5325,"Bats",1.93333333333333,0.0135325,"Eidolon_helvum"
"Elaphe obsoleta","N","Reptilia","Squamata","Colubridae","black rat snake",500,"meat",10,37440,3744,50,"Reptiles",62.4,0.05,"Pantherophis_obsoletus"
"Emydura macquarii","N","Reptilia","Testudines","Chelidae","Australian short-necked turtle",4000,"fiber/foliage",8,90720,11340,500,"Reptiles",189,0.5,"Emydura_macquarii"
"Emydura macquarii","N","Reptilia","Testudines","Chelidae","Australian short-necked turtle",4000,"meat",8,38160,4770,500,"Reptiles",79.5,0.5,"Emydura_macquarii"
"Epomops buettikoferi","Y","Mammalia","Chiroptera","Pteropodidae","Buettikofer's epauletted fruit bat ",136,"fruit/nectar/pollen",1,69,69,136,"Bats",1.15,0.136,"Epomops_franqueti"
"Eptesicus fuscus","Y","Mammalia","Chiroptera","Vespertilionidae","Big Brown Bat",17.23,"protein",22,2684,122,0.783181818181818,"Bats",2.03333333333333,0.000783181818181818,"Eptesicus_nilssonii"
"Eptesicus serotinus","Y","Mammalia","Chiroptera","Vespertilionidae","Serotine bat",23.1,"protein",5,440,88,4.62,"Bats",1.46666666666667,0.00462,"Eptesicus_serotinus"
"Equus asinus","N","Mammalia","Perissodactyla","Equidae","donkey",246000,"fiber/foliage",10,10290,1029,24600,"Odd-toed Ungulates",17.15,24.6,"Equus_asinus"
"Equus caballus","N","Mammalia","Perissodactyla","Equidae","horse",2100500,"fiber/foliage",21,77216.3522144,3676.96915306667,100023.80952381,"Odd-toed Ungulates",61.2828192177778,100.02380952381,"Equus_caballus"
"Equus ferus","N","Mammalia","Perissodactyla","Equidae","horse",380000,"fiber/foliage",6,114048,19008,63333.3333333333,"Odd-toed Ungulates",316.8,63.3333333333333,"Equus_ferus"
"Erithacus rubecula","Y","Aves","Passeriformes","Muscicapidae","European robin",19,"unknown",38,1546.6,40.7,0.5,"Flying Birds",0.678333333333333,5e-04,"Erithacus_rubecula"
"Eulemer rubriventer","N","Mammalia","Primates","Lemuridae","Red-bellied lemur",2000,"fruit/nectar/pollen",12,2575.2,214.6,166.666666666667,"Primates",3.57666666666667,0.166666666666667,"Eulemur_rubriventer"
