"genus.species","fly","class","order","family","common.name","sum_mass","trial.diet","N_tot","total_transit","transit","avg_mass","re_class","transit_hrs","mass_kg","phylo_name"
"Rubigula flaviventris","Y","Aves","Passeriformes","Pyconotidae","Black-crested bulbul",27.2,"fruit/nectar/pollen",13,455,35,2.09230769230769,"Flying Birds",0.583333333333333,0.00209230769230769,"Pycnonotus_flaviventris"
"Saguinus fusicollis","N","Mammalia","Primates","Callitrichidae","saddle-back tamarin",807.5,"fruit/nectar/pollen",14,2415,172.5,57.6785714285714,"Primates",2.875,0.0576785714285714,"Leontocebus_nigricollis"
"Saguinus oedipus","N","Mammalia","Primates","Callitrichidae","cotton-top tamarin",864,"fruit/nectar/pollen",20,4350,217.5,43.2,"Primates",3.625,0.0432,"Saguinus_oedipus"
"Saxicola torquata","Y","Aves","Passeriformes","Muscicapidae","African stonechat",3.9,"unknown",3,156,52,1.3,"Flying Birds",0.866666666666667,0.0013,"Saxicola_torquatus"
"Scotonycteris zenkeri","Y","Mammalia","Chiroptera","Pteropodidae","Zenker's fruit bat",20.5,"fruit/nectar/pollen",1,24,24,20.5,"Bats",0.4,0.0205,"Scotonycteris_zenkeri"
"Selasphorous rufus","Y","Aves","Apodiformes","Trochilidae","Rufous Hummingbirds",2.5,"fruit/nectar/pollen",4,60,15,0.625,"Flying Birds",0.25,0.000625,"Selasphorus_rufus"
"Setophag coronata","Y","Aves","Passeriformes","Parulidae","yellow rumped warbler",11.5,"fiber/foliage",11,737,67,1.04545454545455,"Flying Birds",1.11666666666667,0.00104545454545455,"Setophaga_coronata"
"Setophaga coronata","Y","Aves","Passeriformes","Parulidae","yellow rumped warbler",11.5,"fiber/foliage",11,737,67,1.04545454545455,"Flying Birds",1.11666666666667,0.00104545454545455,"Setophaga_coronata"
"Setophaga coronata","Y","Aves","Passeriformes","Parulidae","yellow rumped warbler",23,"fruit/nectar/pollen",34,374,11,0.676470588235294,"Flying Birds",0.183333333333333,0.000676470588235294,"Setophaga_coronata"
"Setophaga coronata","Y","Aves","Passeriformes","Parulidae","yellow rumped warbler",23,"protein",28,294,10.5,0.821428571428571,"Flying Birds",0.175,0.000821428571428571,"Setophaga_coronata"
"Spermophilus columbianus","N","Mammalia","Rodentia","Sciuridae","Columbian ground squirrel",1152,"protein",12,8856,738,96,"Rodents",12.3,0.096,"Urocitellus_columbianus"
"Spheniscus demersus","N","Aves","Sphenisciformes","Spheniscidae","African penguin",3100,"meat",12,12672,1056,258.333333333333,"Non-Flying Birds",17.6,0.258333333333333,"Spheniscus_demersus"
"Spheniscus demersus","N","Aves","Sphenisciformes","Spheniscidae","jackass penguin",9300,"meat",12,5276.52,439.71,775,"Non-Flying Birds",7.3285,0.775,"Spheniscus_demersus"
"Stercorarius skua","Y","Aves","Charadriiformes","Stercorariidae","great skua",2452,"meat",2,63.6,31.8,1226,"Flying Birds",0.53,1.226,"Stercorarius_skua"
"Stigmochelys pardalis","N","Reptilia","Testudines","Testudinidae","leopard tortoise",11650,"fiber/foliage",6,36720,6120,1941.66666666667,"Reptiles",102,1.94166666666667,"Stigmochelys_pardalis"
"Stigmochelys pardalis","N","Reptilia","Testudines","Testudinidae","leopard tortoise",146527.5,"fruit/nectar/pollen",6,19440,3240,24421.25,"Reptiles",54,24.42125,"Stigmochelys_pardalis"
"Strix varia","Y","Aves","Strigiformes","Strigidae","Barred owl",790,"meat",12,654.999996,54.583333,65.8333333333333,"Flying Birds",0.909722216666667,0.0658333333333333,"Strix_uralensis"
"Strix varia","Y","Aves","Stringiformes","Stringidae","barred owl",715,"meat",2,19.7,9.85,357.5,"Flying Birds",0.164166666666667,0.3575,"Strix_uralensis"
"Struthio camelus","N","Aves","Struthioniformes","Struthionidae","common ostrich",327000,"fiber/foliage",18,25957.2666,1442.07036666667,18166.6666666667,"Non-Flying Birds",24.0345061111111,18.1666666666667,"Struthio_camelus"
