"","fly","class","order","family","genus.species","common.name","sum_mass","trial.diet","N_tot","total_MRT","MRT","avg_mass","re_class"
"248","N","Mammalia","Primates","Hominidae","Pongo pygmaeus","Bornean orangutan",141400,"fruit/nectar/pollen",6,25002,4167,23566.6666666667,"Primates"
"249","N","Mammalia","Primates","Hominidae","Pongo pygmaeus","Bornean orangutan",135140,"fiber/foliage",8,1084.8,135.6,16892.5,"Primates"
"250","N","Mammalia","Diprotodontia","Potoroidae","Potorous tridactylus","Long-nosed Potoroo",2500,"fiber/foliage",14,23640,1688.57142857143,178.571428571429,"Diprotodontia"
"251","N","Mammalia","Carnivora","Procyonidae","Potos flavus","kinkajou",4250,"protein",2,300,150,2125,"Carnivora"
"252","Y","Aves","Passeriformes","Promeropidae","Promerops gurneyi","gurney's sugarbird",34.75,"fruit/nectar/pollen",2,12.2,6.1,17.375,"Flying Birds"
"253","N","Mammalia","Primates","Indriidae","Propithecus tattersalli","Golden crowned sifaka",6186,"fiber/foliage",6,12312,2052,1031,"Primates"
"254","N","Mammalia","Primates","Indriidae","Propithecus verreauxi coquereli","Coquerel's sifaka",10772,"fiber/foliage",18,35038.8,1946.6,598.444444444444,"Primates"
"255","N","Mammalia","Diprotodontia","Pseudocheiridae","Pseudocheirus peregrinus","common ringtail possum",2722,"fiber/foliage",10,99480,9948,272.2,"Diprotodontia"
"256","N","Mammalia","Diprotodontia","Pseudocheiridae","Pseudocheirus peregrinus","ringtail possum",2493,"fiber/foliage",12,2281.2,190.1,207.75,"Diprotodontia"
"257","Y","Aves","Piciformes","Megalaimidae","Psilopogon asiaticus","blue-throated barbet",665,"fruit/nectar/pollen",35,940,26.8571428571429,19,"Flying Birds"
"258","Y","Mammalia","Chiroptera","Pteropodidae","Pteropus rufus","Madagascan Flying Fox",625,"fruit/nectar/pollen",4,120,30,156.25,"Chiroptera"
"259","Y","Aves","Passeriformes","Ptiliogonatidae","Ptiliogonys cinereus","grey silky flycatchers",100.5,"fruit/nectar/pollen",12,227.2,18.9333333333333,8.375,"Flying Birds"
