can_fly,Class,Order,phylo_dist,Family,Genus.species,Common Name,Typical_Diet,Mass g (mean/median from study),mass-citation-if-not-from-retention-study,Food in Feeding Trial,Feeding.Trial.Food.Cat,N_individuals,N_trials,retention metric description,Minimum (min),IQR_1,Median (min),Mean (min),IQR_3,Maximum (min),SD,SE,mrt (min),mrt_sd,mrt_se,Retention.Citation,Notes,includes keywords,original submision
N,Mammalia,Artiodactyla,188.00000000,Bovidae,Kobus ellipsiprymnus,waterbuck,folivore,173500.00000000,,wheat brain + Co-EDTA,fiber/foliage,5,,mean retention time,,,,,,,,,1428.00000000,372.00000000,,Przybylo et al 2019,,no,No
N,Mammalia,Artiodactyla,188.00000000,Bovidae,Kobus ellipsiprymnus,waterbuck,folivore,173500.00000000,,wheat brain + chromium mordanted fiber,fiber/foliage,5,,mean retention time,,,,,,,,,2625.00000000,726.00000000,,Przybylo et al 2019,,no,No
N,Mammalia,Artiodactyla,188.00000000,Bovidae,Litocranius walleri,gerenuk,folivore,37000.00000000,,wheat brain + Co-EDTA,fiber/foliage,1,,mean retention time,,,,,,,,,1830.00000000,,,Przybylo et al 2019,,no,No
N,Mammalia,Artiodactyla,188.00000000,Bovidae,Litocranius walleri,gerenuk,folivore,37000.00000000,,wheat brain + chromium mordanted fiber,fiber/foliage,1,,mean retention time,,,,,,,,,2856.00000000,,,Przybylo et al 2019,,no,No
N,Mammalia,Rodentia,0.00000000,Muridae,Meriones unguiculatus,Mongolian gerbils,folivore,51.30000000,median of initial masses for low and high fiber,Co-EDTA or Cr-cell walls in foliage slush,fiber/foliage,11,1,transit time: time from beginning of feeding to first 5% of food in feces,,,,67.50000000,,,6.00000000,,657.00000000,,,Pei et al. 2001b,took mean of two markers of both high and low fibre diet,,Yes
N,Mammalia,Rodentia,0.00000000,Cricetidae,Mesocricetus auratus,hamster,folivore,105.00000000,,"alfalfa, wheat bran, maize, sucrose + Co-EDTA",fiber/foliage,6,,transit time,,,,198.00000000,,,,,546.00000000,,,Sakaguchi et al 1987,,no,No
N,Mammalia,Rodentia,0.00000000,Cricetidae,Mesocricetus auratus,hamster,folivore,105.00000000,,dry fruit and fiber,fiber/foliage,8,1,Transit time: time from beginning of feeding to first sight of marker in feces,,,,612.00000000,,,4.20000000,,,,,Huang et al 2007,took control rather than high cardamom values,,Yes
N,Mammalia,Rodentia,0.00000000,Echimyidae,Myocastor coypus,nutria,folivore,4400.00000000,reported mean,50% alfalfa with additional supplements,fiber/foliage,5,1,transit time: first excretia of marker,,,,348.00000000,,,181.80000000,,2700.60000000,1251.00000000,,Sakaguchi and Nabata 1992,reported in table 3,,Yes
Y,Aves,Psittaciformes,637.90000000,Psittacidae,Nymphicus hollandicus,Cockatiel,frugivore/nectarivore,97.00000000,mean reported in paper,lactated Ringer's solution; seed mix,fiber/foliage,12,1,transit time: time from ingestion to ﬁrst appearance of marker in cloaca or feces,30.00000000,,60.00000000,,,120.00000000,,,,,,Martel et al 2018,median of reported control group,,Yes
N,Mammalia,Rodentia,0.00000000,Octodontidae,Octodon degus,degu,folivore,177.00000000,,"alfalfa, wheat bran, maize, sucrose + Co-EDTA",fiber/foliage,8,,transit time,,,,312.00000000,,,,,1164.00000000,,,Sakaguchi et al 1992c,,no,No
N,Mammalia,Rodentia,0.00000000,Octodontidae,Octodon degus,degu,folivore,177.00000000,,"alfalfa, wheat bran, maize, sucrose + cell wall constituents",fiber/foliage,8,,transit time,,,,306.00000000,,,,,930.00000000,,,Sakaguchi et al 1992c,,no,No
N,Mammalia,Artiodactyla,188.00000000,Giraffidae,Okapia johnstoni,Okapi,folivore,290000.00000000,https://animaldiversity.org/accounts/Okapia_johnstoni/,"lucerne hay, fresh browse, Co-EDTA, Cr-F",fiber/foliage,4,3,"TT: transit time, time from feeding to first appearance in feces",780.00000000,,,1012.50000000,,1500.00000000,,,,,,Hummel et al 2005,"3 trials for 2 animals, 1 trial for other two. Took mean of 3 model;  predictions for all animals across all trials; originally 1293.75",,Yes
N,Mammalia,Lagomorpha,157.94120000,Leporidae,Oryctolagus cuniculus,domestic rabbit,folivore,1757.00000000,,"alfalfa, wheat bran, maize, sucrose + Co-EDTA",fiber/foliage,7,,transit time,,,,228.00000000,,,,,942.00000000,,,Sakaguchi et al 1987,,no,No
N,Mammalia,Lagomorpha,157.94120000,Leporidae,Oryctolagus cuniculus,domestic rabbit,folivore,2900.00000000,,"alfalfa, oats, corn starch, sugar,dry matter, crude protein + Co-EDTA",fiber/foliage,4,,transit time,,,,540.00000000,402.00000000,,,,,,,Sakaguchi et al 1990,,no,No
N,Mammalia,Lagomorpha,157.94120000,Leporidae,Oryctolagus cuniculus,domestic rabbit,folivore,2900.00000000,,"alfalfa, oats, corn starch, sugar,dry matter, crude protein + cell wall constituents",fiber/foliage,4,,transit time,,,,540.00000000,402.00000000,,,,2625.00000000,654.00000000,,Sakaguchi et al 1990,,no,No
N,Mammalia,Lagomorpha,157.94120000,Leporidae,Oryctolagus cuniculus,domestic rabbit,folivore,2900.00000000,,"alfalfa, oats, corn starch, sugar,dry matter, crude protein, nitrogen + Co-EDTA",fiber/foliage,4,,transit time,,,,390.00000000,114.00000000,,,,,,,Sakaguchi et al 1990,,no,No
N,Mammalia,Lagomorpha,157.94120000,Leporidae,Oryctolagus cuniculus,domestic rabbit,folivore,2900.00000000,,"alfalfa, oats, corn starch, sugar,dry matter, crude protein, nitrogen + cell wall constituents",fiber/foliage,4,,transit time,,,,369.00000000,108.00000000,,,,8610.00000000,4395.00000000,,Sakaguchi et al 1990,,no,No
N,Mammalia,Lagomorpha,157.94120000,Leporidae,Oryctolagus cuniculus,domestic rabbit,folivore,1450.00000000,,"alfalfa, barley, sucrose, agar (large particle fiber diet) + Co-EDTA",fiber/foliage,4,,transit time,,,,240.00000000,30.00000000,,,,3486.00000000,732.00000000,,Sakaguchi et al 1992a,,no,No
N,Mammalia,Lagomorpha,157.94120000,Leporidae,Oryctolagus cuniculus,domestic rabbit,folivore,1450.00000000,,"alfalfa, barley, sucrose, agar (large particle fiber diet) + cell wall constituents",fiber/foliage,4,,transit time,,,,390.00000000,60.00000000,,,,2604.00000000,678.00000000,,Sakaguchi et al 1992a,,no,No
N,Mammalia,Lagomorpha,157.94120000,Leporidae,Oryctolagus cuniculus,domestic rabbit,folivore,1450.00000000,,"alfalfa, barley, sucrose, agar (small particle fiber diet) + Co-EDTA",fiber/foliage,5,,transit time,,,,450.00000000,42.00000000,,,,2448.00000000,174.00000000,,Sakaguchi et al 1992a,,no,No
N,Mammalia,Lagomorpha,157.94120000,Leporidae,Oryctolagus cuniculus,domestic rabbit,folivore,1450.00000000,,"alfalfa, barley, sucrose, agar (small particle fiber diet) + cell wall constituents",fiber/foliage,5,,transit time,,,,612.00000000,120.00000000,,,,1572.00000000,288.00000000,,Sakaguchi et al 1992a,,no,No
N,Mammalia,Lagomorpha,157.94120000,Leporidae,Oryctolagus cuniculus,domestic rabbit,folivore,1047.00000000,mean of live weight reported for control and low-fibre groups,grass pellets with varying fiber load,fiber/foliage,24,1,"TT: transit time, time from feeding to first appearance of marker infeces",,,,360.00000000,,,,,1521.00000000,,,Bellier and Gidenne 1995,took mean of TT for control and lower fiber diet; mean retention time also reported in paper,,Yes
N,Mammalia,Lagomorpha,157.94120000,Leporidae,Oryctolagus cuniculus,domestic rabbit,folivore,3100.00000000,,30% weight-by-volume suspension,fiber/foliage,7,,first excretia of marker,120.00000000,,,206.00000000,,360.00000000,91.00000000,,,,,Botman et al 2019,study reports onset of formation of hard feces in colon; not sure if this is really complete gut transit,,Yes
N,Mammalia,Artiodactyla,188.00000000,Bovidae,Oryx leucoryx,Arabian oryx,folivore,70000.00000000,,wheat brain + Co-EDTA,fiber/foliage,1,,mean retention time,,,,,,,,,1392.00000000,,,Przybylo et al 2019,,no,No
N,Mammalia,Artiodactyla,188.00000000,Bovidae,Oryx leucoryx,Arabian oryx,folivore,70000.00000000,,wheat brain + chromium mordanted fiber,fiber/foliage,1,,mean retention time,,,,,,,,,3096.00000000,,,Przybylo et al 2019,,no,No
N,Mammalia,Artiodactyla,188.00000000,Bovidae,Ovis aries,domestic sheep,folivore,43600.00000000,reported mean,grass,fiber/foliage,6,1,"TT: transit time, time from feeding to mean marker excretion",,,,1356.00000000,,,,,3336.00000000,,,Krysl et al 1987,took reported mean from control,,Yes
N,Mammalia,Artiodactyla,188.00000000,Bovidae,Ovis aries,domestic sheep,folivore,33600.00000000,reported mean,pellets with Cr marker,fiber/foliage,8,1,"TT: transit time, time from feeding to first appearance of marker infeces",,,,468.00000000,,,,56.40000000,1758.00000000,,280.80000000,Vega et al 1998,took mean reported TT from the two diets,,Yes
N,Mammalia,Peramelemorphia,320.00000000,Peramelidae,Perameles nasuta,long-nosed bandicoot,omnivore,710.00000000,,sweet potatoes + beef w/Co-EDTA,fiber/foliage,4,,transit time,,,,1236.00000000,,,252.00000000,,1986.00000000,114.00000000,,Moyle et al 1995,"no sig diff between transit times of the markers, but sig diff for mrt",no,No
N,Mammalia,Peramelemorphia,320.00000000,Peramelidae,Perameles nasuta,long-nosed bandicoot,omnivore,710.00000000,,sweet potatoes + beef w/cell wall constituents,fiber/foliage,4,,transit time,,,,1236.00000000,,,252.00000000,,1635.00000000,102.00000000,,Moyle et al 1995,"no sig diff between transit times of the markers, but sig diff for mrt",no,No
N,Mammalia,Diprotodontia,320.00000000,Phalangeridae,Phalanger gymnotis,ground cuscus,frugivore/nectarivore,2530.00000000,,avocados w/co-EDTA,fiber/foliage,6,,transit time,,,,480.00000000,,,240.00000000,,5070.00000000,468.00000000,,Hume et al 1997,,yes,No
N,Mammalia,Diprotodontia,320.00000000,Phalangeridae,Phalanger gymnotis,ground cuscus,frugivore/nectarivore,2530.00000000,,avocados w/cell wall constituents,fiber/foliage,6,,transit time,,,,3150.00000000,,,1158.00000000,,6498.00000000,1662.00000000,,Hume et al 1997,,yes,No
N,Mammalia,Rodentia,0.00000000,Cricetidae,Phyllotis darwini,Darwin's leaf-eared mouse,omnivore,81.00000000,,"alfalfa, wheat bran, maize, sucrose + Co-EDTA",fiber/foliage,6,,transit time,,,,228.00000000,,,,,546.00000000,,,Sakaguchi et al 1992c,,no,No
N,Mammalia,Rodentia,0.00000000,Cricetidae,Phyllotis darwini,Darwin's leaf-eared mouse,omnivore,81.00000000,,"alfalfa, wheat bran, maize, sucrose + cell wall constituents",fiber/foliage,6,,transit time,,,,366.00000000,,,,,528.00000000,,,Sakaguchi et al 1992c,,no,No
N,Mammalia,Primates,174.36960000,Pitheciidae,Pithecia pithecia,white-faced saki,folivore,1712.50000000,mean of all animals in study,leaves and fibers,fiber/foliage,4,2,Transit time: first marker in feces,,,,876.00000000,,,24.00000000,,1537.50000000,,,Norconk et al 2002,took mean of all trials with particulate and liquid markers (diet was the same),,Yes
N,Mammalia,Primates,174.36960000,Indriidae,Propithecus verreauxi coquereli ,Coquerel's sifaka,folivore,3396.00000000,mean of initial and final mass reported in paper,insoluble to soluble fiber diet,fiber/foliage,6,2,"TT: transit time, time from feeding to first appearance of marker in feces",,,,1471.80000000,,,105.00000000,,2077.80000000,180.00000000,,Campbell et al 2004,mean of Co and Cr values per species,,Yes
N,Mammalia,Diprotodontia,320.00000000,Pseudocheiridae,Pseudocheirus peregrinus,common ringtail possum,folivore,700.00000000,https://animaldiversity.org/accounts/Pseudocheirus_peregrinus/,eucalyptus foliage with particulate marker 103Ru-phenanthroline,fiber/foliage,,,mean retention time,,,,,,,,,2100.00000000,120.00000000,,Chilcott and Hume 1985,only reports mrt,no,No
N,Mammalia,Diprotodontia,320.00000000,Pseudocheiridae,Pseudocheirus peregrinus,common ringtail possum,folivore,700.00000000,https://animaldiversity.org/accounts/Pseudocheirus_peregrinus/,eucalyptus foliage with Cr-EDTA,fiber/foliage,,,mean retention time,,,,,,,,,3780.00000000,120.00000000,,Chilcott and Hume 1985,only reports mrt,no,No
N,Mammalia,Diprotodontia,320.00000000,Pseudocheiridae,Pseudocheirus peregrinus,common ringtail possum,folivore,661.00000000,,"alfalfa, oats, corn starch, sugar,dry matter, crude protein + Co-EDTA",fiber/foliage,4,,transit time,,,,390.00000000,36.00000000,,,,12582.00000000,3738.00000000,,Sakaguchi et al 1990,,no,No
N,Mammalia,Diprotodontia,320.00000000,Pseudocheiridae,Pseudocheirus peregrinus,common ringtail possum,folivore,661.00000000,,"alfalfa, oats, corn starch, sugar,dry matter, crude protein + cell wall constituents",fiber/foliage,4,,transit time,,,,375.00000000,42.00000000,,,,10818.00000000,5745.00000000,,Sakaguchi et al 1990,,no,No
N,Amphibia,Anura,703.37310000,Ranidae,Rana catesbeiana ,bullfrog,omnivore,2.12000000,mass of mean mass reported for both trials (tadpoles),flaked fish food,fiber/foliage,34,1,transit time: time ingestion to first excretia of marker,,,,360.00000000,,,0.00000000,,540.00000000,,,Pryor et al 2005,mean as reported,,Yes
N,Mammalia,Rodentia,0.00000000,Muridae,Rattus norvegicus,common rat,omnivore,295.00000000,,"alfalfa, wheat bran, maize, sucrose + Co-EDTA",fiber/foliage,6,,transit time,,,,432.00000000,,,,,786.00000000,,,Sakaguchi et al 1987,,no,No
N,Mammalia,Rodentia,0.00000000,Muridae,Rattus norvegicus,common rat,omnivore,295.00000000,,"alfalfa, wheat bran, maize, sucrose + cell wall constituents",fiber/foliage,6,,transit time,,,,360.00000000,,,,,726.00000000,,,Sakaguchi et al 1987,,no,No
N,Mammalia,Primates,174.36960000,Cercopithecidae,Rhinopithecus bieti,Snub-Nosed Monkey,folivore,11750.00000000,https://animaldiversity.org/accounts/Rhinopithecus_bieti/#food_habits,"grain, grasses",fiber/foliage,3,1,transit time: time from ingestion to ﬁrst appearance of marker in feces according to Van Soest (1994),,,,1800.00000000,,,,,3960.00000000,,,Kirkpatrick et al. 2001,one trial with only foliage,,Yes
N,Reptilia,Testudines,637.90000000,Testudinidae,Stigmochelys pardalis ,leopard tortoise,folivore,11650.00000000,mean of adult males and females,lucerne,fiber/foliage,6,3,Transit time: time from beginning of feeding to first sight of marker in feces,,,,6120.00000000,,,,720.00000000,,,,McMater et al 2008,mean of MGT as reported in paper,,Yes
N,Mammalia,Artiodactyla,188.00000000,Suidae,Sus scrofa,pig,omnivore,169000.00000000,median of range: https://animaldiversity.org/accounts/Sus_scrofa/,corn-soy-vitamin mixture with markers,fiber/foliage,4,1,"TT: transit time, time from feeding to first appearance in feces",,,,1800.00000000,,,,,,,,Lattmer et al 1990,"mean of mouth to feces duration of transit in pigs for control diet group, averaged across solid and liquid markers (Table 5)",,Yes
N,Mammalia,Artiodactyla,188.00000000,Suidae,Sus scrofa,pig,omnivore,169000.00000000,median of range: https://animaldiversity.org/accounts/Sus_scrofa/,corn-soy-vitamin mixture,fiber/foliage,20,1,Total transit: time from ingestion to defecation (average across all markers),1080.00000000,,,1227.60000000,,1440.00000000,18.60000000,,,,,Lewis et al 2008,reported mean,,Yes
N,Mammalia,Artiodactyla,188.00000000,Suidae,Sus scrofa,pig,omnivore,169000.00000000,median of range: https://animaldiversity.org/accounts/Sus_scrofa/,3 diets: corn and soy + wheat + wheat with Cr2O3 marker,fiber/foliage,6,1,total tract retention time,,,,1979.80000000,,,,31.20000000,,,,Wang et al. 2022,took mean across the 3 diets (all foilage/fiber diets),,Yes
N,Reptilia,Testudines,637.90000000,Emydidae,Trachemys scripta elegans,Red-eared Slider Turtle,omnivore,566.50000000,mean reported in paper,30% weight-by-volume suspension; pelleted turtle diet,fiber/foliage,8,,first excretia of marker,,,,7440.00000000,,,1260.00000000,,,,,Long et al 2010,data extracted from figure,,Yes
N,Mammalia,Artiodactyla,188.00000000,Bovidae,Tragelaphus angasii,nyala,folivore,64000.00000000,,wheat brain + Co-EDTA,fiber/foliage,6,,mean retention time,,,,,,,,,1356.00000000,174.00000000,,Przybylo et al 2019,,no,No
