"","fly","class","order","family","genus.species","common.name","typical.diet","food.cat","mass","food","N_tot","total_transit","total_MRT","transit","MRT","re_class","transit_hrs","MRT_hrs","mass_kg"
"72","N","Mammalia","Primates","Cercopithecidae","Cercopithecus mitis","Blue monkey","frugivore/nectarivore","fruit/nectar/pollen",8600,"fruit/nectar/pollen",2,2028,3000,1014,1500,"Primates",16.9,25,8.6
"73","N","Mammalia","Primates","Cercopithecidae","Cercopithecus neglectus","De Brazza's monkey","frugivore/nectarivore","fruit/nectar/pollen",6500,"fruit/nectar/pollen",2,2472,4092,1236,2046,"Primates",20.6,34.1,6.5
"74","N","Mammalia","Primates","Cercopithecidae","Cercopithecus talapoin","Talapoin monkey","frugivore/nectarivore","fruit/nectar/pollen",1600,"fruit/nectar/pollen",2,1440,2016,720,1008,"Primates",12,16.8,1.6
"75","N","Mammalia","Primates","Hominidae","Pan troglodytes","Chimpanzee","omnivore","fruit/nectar/pollen",58400,"fruit/nectar/pollen",2,2784,3780,1392,1890,"Primates",23.2,31.5,58.4
"76","Y","Mammalia","Chiroptera","Phyllostomidae","Phyllostomus discolor","pale spear-nosed bat","omnivore","fruit/nectar/pollen",35,"fruit/nectar/pollen",6,201.6,NA,33.6,NA,"Bats",0.56,NA,0.035
"77","N","Mammalia","Artiodactyla","Suidae","Sus scrofa","pig","omnivore","fiber/foliage",169000,"fiber/foliage",30,43630.8,NA,1454.36,NA,"Ungulates",24.2393333333333,NA,169
"78","Y","Mammalia","Chiroptera","Pteropodidae","Syconycteris australis","Common blossum bat","frugivore/nectarivore","fruit/nectar/pollen",19.7,"fruit/nectar/pollen",6,399,639,66.5,106.5,"Bats",1.10833333333333,1.775,0.0197
"79","N","Mammalia","Carnivora","Canidae","Canis familiaris","domestic dog","carnivore","fiber/foliage",11339.825,"fiber/foliage",5,2166,NA,433.2,NA,"Carnivores",7.22,NA,11.339825
"80","N","Reptilia","Testudines","Emydidae","Trachemys scripta elegans","Red-eared Slider Turtle","omnivore","label-solution",566.5,"label-solution",8,59520,NA,7440,NA,"Reptiles",124,NA,0.5665
"81","N","Mammalia","Carnivora","Felidae","Felis catus","domestic cat","carnivore","protein",4200,"protein",50,75514.2,NA,1510.284,NA,"Carnivores",25.1714,NA,4.2
"82","N","Mammalia","Carnivora","Felidae","Felis catus","domestic cat","carnivore","protein",3395,"protein",50,75514.2,NA,1510.284,NA,"Carnivores",25.1714,NA,3.395
"83","N","Mammalia","Carnivora","Felidae","Felis catus","domestic cat","carnivore","protein",3900,"protein",50,75514.2,NA,1510.284,NA,"Carnivores",25.1714,NA,3.9
