fly,class,order,family,genus.species,common.name,sum_mass,typical.diet,N_tot,total_transit,total_MRT,transit,MRT,avg_mass,re_class,transit_hrs,MRT_hrs,mass_kg,phylo_name
N,Mammalia,Rodentia,Caviidae,Dolichotis patagonum,Patagonian mara,14800,folivore,6,3600,9738,600,1623,2466.666667,Rodents,10,27.05,2.466666667,Dolichotis_patagonum
N,Mammalia,Rodentia,Cricetidae,Lasiopodomys brandtii,Brandt's vole,4.9,folivore,11,495,4191,45,381,0.445454545,Rodents,0.75,6.35,0.000445455,Lasiopodomys_brandtii
N,Mammalia,Rodentia,Cricetidae,Mesocricetus auratus,hamster,210,folivore,14,6084,3276,434.5714286,234,15,Rodents,7.242857143,3.9,0.015,Mesocricetus_auratus
N,Mammalia,Rodentia,Cricetidae,Microtus townsendii,Townsend vole,109.8,folivore,12,1224,10044,102,837,9.15,Rodents,1.7,13.95,0.00915,Microtus_townsendii
N,Mammalia,Rodentia,Cricetidae,Phyllotis darwini,Darwin's leaf-eared mouse,162,omnivore,12,3564,6444,297,537,13.5,Rodents,4.95,8.95,0.0135,Phyllotis_darwini
N,Mammalia,Rodentia,Echimyidae,Myocastor coypus,nutria,8800,folivore,10,3240,26754,324,2675.4,880,Rodents,5.4,44.59,0.88,Myocastor_coypus
N,Mammalia,Rodentia,Muridae,Meriones unguiculatus,Mongolian gerbils,51.3,folivore,11,742.5,7227,67.5,657,4.663636364,Rodents,1.125,10.95,0.004663636,Meriones_unguiculatus
N,Mammalia,Rodentia,Muridae,Rattus norvegicus,common rat,590,omnivore,12,4752,9072,396,756,49.16666667,Rodents,6.6,12.6,0.049166667,Rattus_norvegicus
N,Mammalia,Rodentia,Muridae,Uromys caudimaculatus,giant white-tailed rat,1270,omnivore,2,NA,6054,NA,3027,635,Rodents,NA,50.45,0.635,Uromys_caudimaculatus
N,Mammalia,Rodentia,Octodontidae,Octodon degus,degu,354,folivore,16,4944,16752,309,1047,22.125,Rodents,5.15,17.45,0.022125,Octodon_degus
N,Mammalia,Rodentia,Sciuridae,Marmota caligata,hoary marmot,4616,folivore,12,10836,19332,903,1611,384.6666667,Rodents,15.05,26.85,0.384666667,Marmota_caligata
N,Mammalia,Rodentia,Sciuridae,Spermophilus columbianus,Columbian ground squirrel,1152,folivore,12,8856,16056,738,1338,96,Rodents,12.3,22.3,0.096,Spermophilus_columbianus
N,Mammalia,Rodentia,Sciuridae,Tamias amoenus,yellow-pine chipmunk,123.8,omnivore,12,3420,9648,285,804,10.31666667,Rodents,4.75,13.4,0.010316667,Tamias_amoenus
N,Reptilia,Squamata,Agamidae,Pogona vitticeps,Bearded dragon,243.4,omnivore,7,13020,NA,1860,NA,34.77142857,Reptiles,31,NA,0.034771429,Pogona_vitticeps
N,Reptilia,Squamata,Boidae,Corallus caninus,emerald tree boa,1500,carnivore,8,292608,NA,36576,NA,187.5,Reptiles,609.6,NA,0.1875,Corallus_caninus
N,Reptilia,Squamata,Boidae,Python molurus,Indian python,91000,carnivore,7,352800,NA,50400,NA,13000,Reptiles,840,NA,13,Python_molurus
N,Reptilia,Squamata,Colubridae,Elaphe obsoleta,black rat snake,500,carnivore,10,37440,NA,3744,NA,50,Reptiles,62.4,NA,0.05,Elaphe_obsoleta
N,Reptilia,Squamata,Colubridae,Uromacer oxyrhynchus,pointed snake,NA,carnivore,2,5184,NA,2592,NA,NA,Reptiles,43.2,NA,NA,Uromacer_oxyrhynchus
N,Reptilia,Squamata,Cordylidae,Cordylus melanotus,common crag lizard,47.6,omnivore,19,164491.17,NA,8657.43,NA,2.505263158,Reptiles,144.2905,NA,0.002505263,Cordylus_melanotus
N,Reptilia,Squamata,Iguanidae,Iguana iguana ,Green iguana,2350,folivore,5,18720,NA,3744,NA,470,Reptiles,62.4,NA,0.47,Iguana_iguana_
N,Reptilia,Squamata,Lacertidae,Podarcis erhardii,Aegean wall lizard,5.78,carnivore,47,122200,NA,2600,NA,0.122978723,Reptiles,43.33333333,NA,0.000122979,Podarcis_erhardii
N,Reptilia,Squamata,Pythonidae,Python regius,Ball python,3900,carnivore,18,56160,NA,3120,NA,216.6666667,Reptiles,52,NA,0.216666667,Python_regius
N,Reptilia,Squamata,Scincidae,Trachylepis margaritifer,Rainbow Skinks,37.3,carnivore,15,40725,NA,2715,NA,2.486666667,Reptiles,45.25,NA,0.002486667,Trachylepis_margaritifera
N,Reptilia,Squamata,Viperidae,Atheris nitscheri,Great Lakes bush viper,NA,carnivore,3,31104,NA,10368,NA,NA,Reptiles,172.8,NA,NA,Atheris_nitschei
N,Reptilia,Squamata,Viperidae,Bitis arietans,puff ader,945.4,carnivore,5,212400,NA,42480,NA,189.08,Reptiles,708,NA,0.18908,Bitis_arietans
N,Reptilia,Squamata,Viperidae,Bitis gabonica,Gaboon viper,1172,carnivore,8,1324800,NA,165600,NA,146.5,Reptiles,2760,NA,0.1465,Bitis_gabonica
N,Reptilia,Testudines,Chelidae,Emydura macquarii,Australian short-necked turtle,8000,omnivore,16,128880,185640,8055,11602.5,500,Reptiles,134.25,193.375,0.5,Emydura_macquarii
N,Reptilia,Testudines,Cheloniidae,Caretta caretta,Loggerhead sea turtle,37867.5,omnivore,38,643824,NA,16942.73684,NA,996.5131579,Reptiles,282.3789474,NA,0.996513158,Caretta_caretta
N,Reptilia,Testudines,Cheloniidae,Chelonia mydas,green sea turtle,12200,omnivore,13,181497.6,NA,13961.35385,NA,938.4615385,Reptiles,232.6892308,NA,0.938461538,Chelonia_mydas
N,Reptilia,Testudines,Emydidae,Terrapene carolina,Florida box Turtle,359.5,omnivore,11,236148,NA,21468,NA,32.68181818,Reptiles,357.8,NA,0.032681818,Terrapene
N,Reptilia,Testudines,Emydidae,Trachemys scripta elegans,Red-eared Slider Turtle,566.5,omnivore,8,59520,NA,7440,NA,70.8125,Reptiles,124,NA,0.0708125,Trachemys_scripta_elegans
N,Reptilia,Testudines,Testudinidae,Stigmochelys pardalis ,leopard tortoise,158177.5,folivore,12,56160,NA,4680,NA,13181.45833,Reptiles,78,NA,13.18145833,Stigmochelys_pardalis
Y,Aves,Accipitriformes,Accipitridae,Buteo jamaicensis,Red-tailed hawks,1009.5,carnivore,9,900,NA,100,NA,112.1666667,Flying Birds,1.666666667,NA,0.112166667,Buteo_jamaicensis
Y,Aves,Columbiformes,Columbidae,Columba livia,Rock dove,358.7,omnivore,6,1620,NA,270,NA,59.78333333,Flying Birds,4.5,NA,0.059783333,Columba_livia
Y,Aves,Falconiformes,Falconidae,Caracara plancus,Southern crested caracara,1348,carnivore,6,4020,NA,670,NA,224.6666667,Flying Birds,11.16666667,NA,0.224666667,Caracara_plancus
Y,Aves,Galliformes,Phasianidae,Coturnix coturnix japonica,Japanese quail,144,omnivore,64,4992,NA,78,NA,2.25,Flying Birds,1.3,NA,0.00225,Coturnix_coturnix_japonica
Y,Aves,Galliformes,Phasianidae,Gallus gallus domesticus,domestic chicken,18061.4,omnivore,233,41275.73333,18948.6,177.1490701,81.32446352,77.5167382,Flying Birds,2.952484502,1.355407725,0.077516738,Gallus_gallus_domesticus
Y,Aves,Passeriformes,Dicaeidae,Dicaeum hirundinaceum,mistletoe bird,9.25,frugivore/nectarivore,4,54.66666668,NA,13.66666667,NA,2.3125,Flying Birds,0.227777778,NA,0.0023125,Dicaeum
